Metric,Jun 2020,Sep 2020,Dec 2020,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1786,2460,2507,3326,3360,3967,4248,3635,3287,3875,3896,3863,3444
  └─ YOY Sales Growth %,10.70%,18.58%,24.43%,,,,,9.29%,-2.18%,-2.33%,-8.29%,6.27%,4.78%
Expenses,1774,2299,2267,3114,3114,3654,4047,3465,3237,3661,3741,3693,3333
  └─ Material Cost %,85%,82%,80%,83%,82%,81%,86%,85%,85%,81%,86%,84%,83%
  └─ Employee Cost %,5%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
Operating Profit,13,161,240,212,246,312,201,170,50,214,155,170,111
OPM %,1%,7%,10%,6%,7%,8%,5%,5%,2%,6%,4%,4%,3%
Other Income,3,427,6,27,25,36,18,18,35,19,31,11,17
  └─ Exceptional items,0.00,423.61,0.00,0.00,0.00,13.78,0.00,-1.46,15.51,0.00,6.57,0.71,6.14
  └─ Other income normal,2.99,3.13,6.18,26.51,24.70,22.03,18.36,19.12,19.94,19.14,24.84,10.66,11.16
Interest,12,9,6,3,3,5,3,4,4,5,7,5,2
Depreciation,44,44,43,49,48,47,45,45,41,41,37,34,37
Profit before tax,-41,535,197,187,219,297,171,138,41,188,142,143,90
Tax %,-23%,23%,41%,25%,26%,26%,25%,25%,33%,27%,24%,25%,23%
Net Profit,-31,413,115,140,161,221,128,104,27,137,107,107,69
  └─ Exceptional items AT,0,327,0,0,0,10,0,-1,6,0,7,1,6
  └─ Profit excl Excep,-31,86,115,140,161,210,128,105,21,137,101,106,63
  └─ Profit for PE,-31,86,115,140,161,210,128,105,21,137,101,106,63
  └─ Profit for EPS,-31,413,115,140,161,221,128,104,27,137,107,107,69
  └─ YOY Profit Growth %,-315%,719%,758%,,,,,-25%,-87%,-35%,-21%,1%,202%
EPS in Rs,-7.20,95.37,26.60,32.36,37.29,50.96,29.55,23.92,6.24,31.74,24.75,24.64,15.91
Raw PDF,,,,,,,,,,,,,
