Metric,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales,54.64,62.65,67.90,65.01,75.58
  └─ YOY Sales Growth %,,,,18.98%,20.64%
Expenses,45.75,52.41,53.75,53.17,63.15
  └─ Material Cost %,47.09%,48.54%,50.74%,46.24%,45.96%
  └─ Employee Cost %,17.77%,15.51%,14.45%,17.97%,17.07%
Operating Profit,8.89,10.24,14.15,11.84,12.43
OPM %,16.27%,16.34%,20.84%,18.21%,16.45%
Other Income,0.17,2.42,0.84,-1.46,1.13
  └─ Exceptional items,0.00,0.00,0.00,-2.23,-0.69
  └─ Other income normal,0.17,2.42,0.84,0.77,1.82
Interest,1.09,1.30,1.40,1.28,1.80
Depreciation,1.35,2.70,2.46,2.40,2.45
Profit before tax,6.62,8.66,11.13,6.70,9.31
Tax %,30.21%,29.56%,25.79%,24.93%,24.70%
Net Profit,4.20,6.02,7.80,4.54,6.92
  └─ Profit from Associates,-0.42,-0.07,-0.45,-0.49,-0.10
  └─ Exceptional items AT,0.00,0.00,0.00,-1.53,-0.52
  └─ Profit excl Excep,4.20,6.02,7.80,6.07,7.44
  └─ Profit for PE,4.20,6.02,7.80,6.07,7.44
  └─ Profit for EPS,4.20,6.02,7.80,4.54,6.92
  └─ YOY Profit Growth %,,,,44.52%,23.59%
EPS in Rs,2.10,2.46,3.19,1.86,2.83
Raw PDF,,,,,
