Metric,Sep 2021,Dec 2021,Jun 2022,Sep 2022,Dec 2022,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Expenses,0.06,0.05,0.07,0.06,0.09,0.28,0.20,0.13,0.26,0.07,0.21
Operating Profit,-0.06,-0.05,-0.07,-0.06,-0.09,-0.28,-0.20,-0.13,-0.26,-0.07,-0.21
OPM %,,,,,,,,,,,
Other Income,0.07,0.02,0.02,0.05,0.06,0.03,0.45,0.46,0.55,0.42,0.44
  └─ Other income normal,0.07,0.02,0.02,0.05,0.06,0.03,0.45,0.46,0.55,0.42,0.44
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.01,0.15,0.03
Profit before tax,0.01,-0.03,-0.05,-0.01,-0.03,-0.27,0.23,0.31,0.28,0.20,0.20
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,47.83%,0.00%,0.00%,-15.00%,0.00%
Net Profit,0.00,-0.03,-0.05,-0.01,-0.03,-0.26,0.11,0.31,0.27,0.23,0.20
  └─ Profit excl Excep,0,-0,-0,-0,-0,-0,0,0,0,0,0
  └─ Profit for PE,0,-0,-0,-0,-0,-0,0,0,0,0,0
  └─ Profit for EPS,0,-0,-0,-0,-0,-0,0,0,0,0,0
  └─ YOY Profit Growth %,,,,,0%,,,,,188%,82%
EPS in Rs,0.00,-0.19,-0.31,-0.06,-0.19,-0.73,0.31,0.87,0.76,0.64,0.13
Raw PDF,,,,,,,,,,,
