Metric,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,80,67,77,75,73,252,255,327,242,267,254,260,238
  └─ YOY Sales Growth %,41.69%,48.18%,21.78%,42.43%,-9.05%,,,,,5.92%,-0.31%,-20.38%,-1.64%
Expenses,71,57,70,69,63,224,230,287,207,230,230,219,198
  └─ Material Cost %,64%,64%,64%,53%,54%,62%,62%,62%,57%,60%,64%,54%,51%
  └─ Employee Cost %,3%,4%,3%,13%,5%,4%,4%,3%,5%,5%,5%,6%,7%
Operating Profit,9,10,7,6,10,28,25,40,35,37,24,42,40
OPM %,11%,15%,9%,8%,13%,11%,10%,12%,15%,14%,9%,16%,17%
Other Income,0,0,0,2,0,1,1,1,1,2,1,2,1
  └─ Exceptional items,0.00,0.00,0.00,2.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.00,0.00,0.00,0.00,0.00,1.35,1.42,1.09,0.82,1.81,1.04,1.82,1.37
Interest,2,2,2,1,2,2,1,1,1,2,1,1,3
Depreciation,2,2,2,4,2,4,4,4,5,6,6,7,7
Profit before tax,5,6,4,3,6,24,21,35,30,32,18,36,32
Tax %,21%,60%,25%,9%,59%,26%,27%,26%,25%,26%,24%,23%,28%
Net Profit,4,2,3,3,2,18,15,26,22,24,14,27,24
  └─ Exceptional items AT,0.00,0.00,0.00,2.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,3.99,2.48,2.71,0.70,2.37,17.69,15.32,26.09,22.32,23.65,14.01,27.30,23.50
  └─ Profit for PE,3.99,2.48,2.71,0.70,2.37,17.69,15.32,26.09,22.32,23.65,14.01,27.30,23.50
  └─ Profit for EPS,3.99,2.48,2.71,3.15,2.37,17.69,15.32,26.09,22.32,23.65,14.01,27.30,23.50
  └─ YOY Profit Growth %,136.09%,651.52%,594.87%,-79.59%,-40.60%,,,,,33.69%,-8.55%,4.64%,5.29%
EPS in Rs,2.20,1.37,1.50,1.74,1.31,9.78,8.47,14.43,12.35,13.08,7.38,14.38,11.70
Raw PDF,,,,,,,,,,,,,
