Metric,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,46,54,51,48,42,48,50,57
Expenses,41,50,48,46,36,40,41,50
  └─ Material Cost %,28.65%,27.17%,29.22%,22.33%,22.03%,20.49%,16.60%,18.68%
  └─ Employee Cost %,23.78%,20.83%,26.54%,27.62%,24.90%,17.98%,19.20%,15.06%
Operating Profit,4,4,3,2,6,9,9,7
OPM %,9%,7%,5%,4%,14%,18%,17%,12%
Other Income,1,1,1,1,1,-0,1,1
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,-1.20,0.00,0.00
  └─ Other income normal,0.83,0.54,0.63,1.12,0.83,0.95,0.95,1.42
Interest,0,0,0,0,0,1,0,1
Depreciation,1,1,2,2,2,2,3,3
Profit before tax,4,3,2,1,5,5,6,4
Tax %,27%,23%,25%,37%,21%,34%,25%,4%
Net Profit,3,2,1,1,4,3,5,4
  └─ Profit from Associates,0.00,0.00,0.00,-0.01,-0.01,-0.01,0.00,0.00
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,-0.79,0.00,0.00
  └─ Profit excl Excep,2.73,2.09,1.18,0.80,3.76,4.17,4.83,4.16
  └─ Profit for PE,2.73,2.09,1.18,0.80,3.76,4.17,4.83,4.16
  └─ Profit for EPS,2.73,2.09,1.18,0.80,3.76,3.38,4.83,4.16
EPS in Rs,2.60,1.99,1.12,0.76,3.58,3.21,4.59,3.96
Raw PDF,,,,,,,,
