Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,79,102,80,101,103,114,138,162,171,175
  └─ YOY Sales Growth %,,,,,31%,11%,72%,61%,66%,53%
Expenses,64,80,59,77,77,95,104,112,121,128
  └─ Material Cost %,61.40%,44.31%,43.07%,47.62%,39.51%,50.31%,44.47%,35.29%,39.20%,37.80%
  └─ Employee Cost %,10.38%,17.82%,14.96%,14.61%,18.45%,12.81%,15.69%,18.32%,17.94%,17.31%
Operating Profit,15,22,21,23,26,19,34,50,50,47
OPM %,19%,22%,27%,23%,25%,17%,25%,31%,29%,27%
Other Income,1,2,0,2,5,12,3,5,7,18
  └─ Other income normal,0.80,1.96,0.48,1.86,5.16,11.77,3.36,5.41,7.39,17.67
Interest,2,3,5,5,6,5,5,6,5,8
Depreciation,3,4,4,4,4,5,6,8,8,9
Profit before tax,10,18,13,16,20,21,26,41,45,47
Tax %,31%,19%,19%,18%,20%,13%,20%,26%,25%,23%
Net Profit,7,14,11,13,16,18,21,30,34,37
  └─ Minority share,-0,2,-0,-0,1,-0,-1,2,-2,-5
  └─ Profit excl Excep,7,14,11,13,16,18,21,30,34,37
  └─ Profit for PE,7,16,11,13,17,18,20,32,32,32
  └─ Profit for EPS,7,16,11,13,17,18,20,32,32,32
  └─ YOY Profit Growth %,,,,,142%,12%,84%,152%,84%,77%
EPS in Rs,2.37,5.23,3.23,3.86,3.73,3.87,4.28,7.03,6.87,6.86
Raw PDF,,,,,,,,,,
