Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01
  └─ YOY Sales Growth %,0.00%,,,,-50.00%,-100.00%,-100.00%,0.00%,-100.00%,,,0.00%,
Expenses,0.06,0.04,0.12,0.03,7.49,0.09,0.12,0.08,0.05,0.08,2.84,0.10,0.18
  └─ Employee Cost %,150%,200%,350%,200%,300%,,,100%,,,,100%,400%
Operating Profit,-0.04,-0.03,-0.10,-0.02,-7.48,-0.09,-0.12,-0.07,-0.05,-0.08,-2.84,-0.09,-0.17
OPM %,-200.00%,-300.00%,-500.00%,-200.00%,-74800.00%,,,-700.00%,,,,-900.00%,-1700.00%
Other Income,0.01,0.00,0.00,0.01,0.01,0.01,0.02,0.01,0.00,0.01,0.01,0.00,0.00
  └─ Other income normal,0.01,0.00,0.00,0.01,0.01,0.01,0.02,0.01,0.00,0.01,0.01,0.00,0.00
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.00,0.00,0.03,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.01,0.00,0.00
Profit before tax,-0.03,-0.03,-0.13,-0.01,-7.47,-0.08,-0.13,-0.06,-0.05,-0.07,-2.84,-0.09,-0.17
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Net Profit,-0.03,-0.03,-0.13,-0.01,-7.47,-0.08,-0.13,-0.06,-0.05,-0.07,-2.84,-0.09,-0.17
  └─ Profit excl Excep,-0,-0,-0,-0,-7,-0,-0,-0,-0,-0,-3,-0,-0
  └─ Profit for PE,-0,-0,-0,-0,-7,-0,-0,-0,-0,-0,-3,-0,-0
  └─ Profit for EPS,-0,-0,-0,-0,-7,-0,-0,-0,-0,-0,-3,-0,-0
  └─ YOY Profit Growth %,,25%,-160%,50%,-24800%,-167%,0%,-500%,99%,12%,-2085%,-50%,-240%
EPS in Rs,-0.03,-0.03,-0.13,-0.01,-7.47,-0.08,-0.13,-0.06,-0.05,-0.07,-2.84,-0.09,-0.17
Raw PDF,,,,,,,,,,,,,
