Metric,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026,Jun 2021,Jun 2022,Dec 2022,Jun 2023
Sales,19,35,34,64,118,82,72,96,142,267,264,,,,
  └─ YOY Sales Growth %,,,,,235.91%,,,,,,,,264.71%,256.00%,30.96%
Expenses,15,31,30,56,112,74,70,88,142,249,264,,,,
  └─ Material Cost %,68%,75%,78%,79%,90%,83%,89%,85%,85%,90%,91%,,,,
  └─ Employee Cost %,3%,3%,2%,1%,1%,1%,3%,3%,2%,2%,0%,,,,
Operating Profit,3,5,4,8,6,8,2,8,1,18,-1,,,,
OPM %,18%,14%,12%,12%,5%,10%,3%,8%,1%,7%,-0%,,,,
Other Income,0,1,1,1,1,2,6,14,19,13,14,,,,
  └─ Other income normal,0.38,0.57,0.94,0.57,0.80,1.64,6.05,14.05,19.31,12.53,13.50,,,,
Interest,1,2,1,2,3,3,2,10,7,16,5,,,,
Depreciation,1,1,1,1,2,2,6,5,4,7,4,,,,
Profit before tax,2,2,3,5,2,5,0,7,9,7,4,,,,
Tax %,28%,29%,27%,23%,35%,28%,62%,23%,26%,31%,13%,,,,
Net Profit,1,2,2,4,2,4,0,5,7,5,3,,,,
  └─ Profit excl Excep,1.34,1.67,2.22,4.13,1.58,3.79,0.14,5.09,6.88,5.17,3.20,,,,
  └─ Profit for PE,1.34,1.67,2.22,4.13,1.58,3.79,0.14,5.09,6.88,5.17,3.20,,,,
  └─ Profit for EPS,1.34,1.67,2.22,4.13,1.58,3.79,0.14,5.09,6.88,5.17,3.20,,,,
EPS in Rs,0.08,0.10,0.10,0.18,0.07,0.16,0.01,0.22,0.30,0.22,0.27,,,,
Raw PDF,,,,,,,,,,,,,,,
