Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,44.15,50.24,48.42,44.50,48.58,56.34,60.02,55.00,54.45,51.43,55.28,53.32,68.50
  └─ YOY Sales Growth %,-11.27%,0.78%,11.13%,-0.02%,10.03%,12.14%,23.96%,23.60%,12.08%,-8.71%,-7.90%,-3.05%,25.80%
Expenses,42.74,46.57,45.35,41.17,44.45,52.01,56.15,51.12,50.77,47.48,51.35,49.36,65.81
  └─ Material Cost %,64%,64%,63%,55%,59%,64%,66%,61%,62%,62%,61%,62%,71%
  └─ Employee Cost %,11%,9%,10%,14%,11%,10%,9%,11%,12%,12%,11%,11%,9%
Operating Profit,1.41,3.67,3.07,3.33,4.13,4.33,3.87,3.88,3.68,3.95,3.93,3.96,2.69
OPM %,3.19%,7.30%,6.34%,7.48%,8.50%,7.69%,6.45%,7.05%,6.76%,7.68%,7.11%,7.43%,3.93%
Other Income,1.23,0.40,0.54,0.26,0.55,0.28,0.89,0.46,0.53,0.43,1.38,0.06,0.48
  └─ Other income normal,1.23,0.40,0.54,0.26,0.55,0.28,0.89,0.46,0.53,0.43,1.38,0.06,0.48
Interest,1.41,2.05,2.12,2.03,2.22,2.31,1.90,1.84,1.86,1.91,1.70,1.51,1.44
Depreciation,0.67,0.77,0.77,0.77,0.89,0.80,0.80,0.95,0.78,1.06,1.06,1.06,0.67
Profit before tax,0.56,1.25,0.72,0.79,1.57,1.50,2.06,1.55,1.57,1.41,2.55,1.45,1.06
Tax %,42.86%,19.20%,11.11%,21.52%,10.83%,16.00%,4.85%,20.65%,45.86%,17.73%,10.20%,30.34%,88.68%
Net Profit,0.33,1.00,0.64,0.62,1.40,1.26,1.96,1.23,0.85,1.15,2.28,1.00,0.12
  └─ Profit excl Excep,0,1,1,1,1,1,2,1,1,1,2,1,0
  └─ Profit for PE,0,1,1,1,1,1,2,1,1,1,2,1,0
  └─ Profit for EPS,0,1,1,1,1,1,2,1,1,1,2,1,0
  └─ YOY Profit Growth %,-86%,178%,28%,-5%,324%,26%,206%,98%,-39%,-9%,16%,-19%,-86%
EPS in Rs,0.05,0.16,0.10,0.10,0.22,0.20,0.31,0.19,0.13,0.18,0.36,0.16,0.02
Raw PDF,,,,,,,,,,,,,
