Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,159,379,105,277,92,296,162,109,137,190,117,227,234
  └─ YOY Sales Growth %,-17%,14%,10%,110%,-42%,-22%,54%,-61%,49%,-36%,-28%,108%,71%
Expenses,176,379,109,261,185,692,169,110,104,222,117,506,56
  └─ Material Cost %,68%,76%,49%,68%,106%,192%,54%,59%,52%,75%,58%,136%,60%
  └─ Employee Cost %,2%,1%,4%,2%,5%,2%,3%,4%,4%,4%,5%,2%,2%
Operating Profit,-16,0,-4,16,-93,-396,-8,-1,33,-32,-1,-280,178
OPM %,-10%,0%,-4%,6%,-101%,-133%,-5%,-1%,24%,-17%,-1%,-123%,76%
Other Income,12,15,10,1,3,75,7,3,2,3,6,2,1
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,-1.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,12.43,14.57,10.21,1.41,3.48,76.52,6.66,3.00,1.59,3.38,5.88,1.90,0.77
Interest,26,26,12,4,4,9,5,8,4,3,3,3,3
Depreciation,5,9,4,12,9,4,6,14,3,9,9,9,9
Profit before tax,-36,-21,-10,2,-103,-334,-12,-19,27,-41,-6,-290,167
Tax %,-6%,-38%,-10%,125%,0%,-7%,-9%,54%,3%,-19%,-29%,-2%,2%
Net Profit,-34,-13,-9,-0,-103,-310,-11,-29,26,-33,-5,-284,163
  └─ Profit from Associates,0,0,0,0,0,0,0,0,0,0,0,0,-1
  └─ Minority share,5,6,2,4,-2,-4,-0,1,-0,2,0,-5,2
  └─ Exceptional items AT,0,0,0,0,0,-1,0,0,0,0,0,0,0
  └─ Profit excl Excep,-34,-13,-9,-0,-103,-309,-11,-29,26,-33,-5,-284,163
  └─ Profit for PE,-28,-7,-7,3,-106,-312,-11,-28,26,-31,-4,-289,165
  └─ Profit for EPS,-28,-7,-7,3,-106,-314,-11,-28,26,-31,-4,-289,165
  └─ YOY Profit Growth %,-152%,-600%,69%,113%,-275%,-4452%,-53%,-989%,125%,90%,59%,-920%,529%
EPS in Rs,-1.79,-0.44,-0.45,0.20,-6.71,-19.93,-0.70,-1.80,1.67,-1.96,-0.29,-18.37,10.51
Raw PDF,,,,,,,,,,,,,
