Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,235,244,253,194,253,265,269,259,285,288,277,277,318
  └─ YOY Sales Growth %,9.71%,-5.67%,4.93%,-8.14%,7.96%,8.75%,6.44%,33.46%,12.70%,8.55%,2.90%,7.18%,11.28%
Expenses,204,222,233,173,236,237,245,234,261,256,245,252,283
  └─ Material Cost %,67%,71%,73%,64%,70%,68%,68%,67%,68%,67%,65%,67%,66%
  └─ Employee Cost %,4%,5%,4%,5%,5%,5%,5%,5%,5%,5%,6%,6%,6%
Operating Profit,31,22,20,21,17,28,24,24,25,31,32,25,34
OPM %,13%,9%,8%,11%,7%,10%,9%,9%,9%,11%,12%,9%,11%
Other Income,2,4,5,2,5,8,5,2,0,16,5,2,6
  └─ Other income normal,1.96,4.18,5.41,1.93,4.54,7.65,5.29,2.39,0.28,15.52,4.91,2.24,5.90
Interest,5,6,6,6,5,5,6,6,6,6,6,6,6
Depreciation,4,4,3,4,4,4,4,4,4,5,5,5,6
Profit before tax,23,17,16,13,13,26,19,17,15,36,26,16,29
Tax %,27%,27%,28%,24%,27%,25%,29%,33%,22%,19%,29%,27%,28%
Net Profit,17,12,12,10,9,19,14,11,12,29,18,12,21
  └─ Profit excl Excep,17,12,12,10,9,19,14,11,12,29,18,12,21
  └─ Profit for PE,17,12,12,10,9,19,14,11,12,29,18,12,21
  └─ Profit for EPS,17,12,12,10,9,19,14,11,12,29,18,12,21
  └─ YOY Profit Growth %,645%,44%,143%,-6%,-47%,59%,16%,15%,30%,49%,31%,5%,73%
EPS in Rs,2.42,1.72,1.69,1.39,1.29,2.73,1.95,1.56,1.63,3.97,2.49,1.64,2.83
Raw PDF,,,,,,,,,,,,,
