Metric,Mar 2009
Sales,0.62
Expenses,0.61
  └─ Employee Cost %,90%
Operating Profit,0.01
OPM %,1.61%
Other Income,0.10
  └─ Other income normal,0.10
Interest,0.00
Depreciation,0.05
Profit before tax,0.06
Tax %,83.33%
Net Profit,0.01
  └─ Profit excl Excep,0.01
  └─ Profit for PE,0.01
  └─ Profit for EPS,0.01
EPS in Rs,0.00
Raw PDF,
