Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,38,108,46,36,32,49,32,42,29,40,25,26,21
  └─ YOY Sales Growth %,-31.03%,31.23%,43.23%,38.30%,-14.79%,-54.56%,-30.96%,14.83%,-9.52%,-18.68%,-22.68%,-37.89%,-28.64%
Expenses,55,137,68,57,55,94,53,65,46,104,46,63,44
  └─ Material Cost %,53%,70%,73%,59%,64%,46%,56%,50%,36%,75%,53%,61%,22%
  └─ Employee Cost %,57%,12%,45%,58%,66%,27%,63%,44%,62%,16%,63%,52%,80%
Operating Profit,-17,-29,-22,-20,-23,-46,-21,-23,-17,-64,-21,-37,-23
OPM %,-44%,-27%,-47%,-56%,-71%,-93%,-67%,-55%,-57%,-162%,-86%,-145%,-111%
Other Income,16,23,11,10,10,2703,14,12,-15,52,13,16,15
  └─ Exceptional items,1.16,1.10,0.02,0.04,0.09,2680.69,0.00,0.00,-26.36,26.36,0.00,0.00,0.00
  └─ Other income normal,14.72,21.92,10.58,10.31,10.05,22.76,14.28,11.54,11.32,25.26,12.73,16.15,15.25
Interest,17,16,17,17,17,18,20,14,17,19,18,16,18
Depreciation,2,4,2,2,2,2,2,2,2,1,2,2,2
Profit before tax,-20,-26,-30,-29,-32,2638,-29,-27,-51,-33,-28,-39,-27
Tax %,0%,31%,0%,0%,0%,-0%,0%,0%,0%,9%,0%,0%,0%
Net Profit,-20,-34,-30,-29,-32,2641,-29,-27,-51,-36,-28,-39,-27
  └─ Exceptional items AT,1.16,0.84,0.02,0.04,0.09,2680.69,0.00,0.00,-26.36,23.95,0.00,0.00,0.00
  └─ Profit excl Excep,-21.06,-34.40,-29.85,-28.86,-31.78,-39.59,-28.94,-27.09,-24.92,-59.70,-27.77,-39.08,-27.24
  └─ Profit for PE,-21.06,-34.40,-29.85,-28.86,-31.78,-39.59,-28.94,-27.09,-24.92,-59.70,-27.77,-39.08,-27.24
  └─ Profit for EPS,-19.90,-33.56,-29.83,-28.82,-31.69,2641.10,-28.94,-27.09,-51.28,-35.75,-27.77,-39.08,-27.24
  └─ YOY Profit Growth %,24.16%,17.91%,9.79%,21.53%,-50.90%,-15.09%,3.05%,6.13%,21.59%,-50.80%,4.04%,-44.26%,-9.31%
EPS in Rs,-0.56,-0.94,-0.84,-0.81,-0.89,74.27,-0.81,-0.76,-1.44,-1.01,-0.78,-1.10,-0.77
Raw PDF,,,,,,,,,,,,,
