Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1200,1203,1146,1151,1201,1198,1224,1255,1217,1219,1298,1291,1398
  └─ YOY Sales Growth %,38.00%,5.56%,1.65%,-3.00%,0.13%,-0.47%,6.79%,9.03%,1.33%,1.79%,6.04%,2.82%,14.89%
Expenses,1009,1034,979,960,992,1004,1029,1078,1071,1098,1142,1134,1254
  └─ Material Cost %,38.07%,37.62%,35.30%,35.91%,35.50%,35.23%,36.07%,38.11%,37.24%,36.93%,38.83%,39.48%,41.00%
  └─ Employee Cost %,13.89%,14.95%,15.58%,15.23%,16.91%,16.01%,17.59%,17.24%,18.47%,19.52%,18.59%,17.96%,17.30%
Operating Profit,190,169,168,191,209,194,195,177,146,121,156,157,144
OPM %,16%,14%,15%,17%,17%,16%,16%,14%,12%,10%,12%,12%,10%
Other Income,59,41,31,25,25,19,23,-77,18,27,23,22,-103
  └─ Exceptional items,25,0,0,112,0,0,0,-104,0,0,0,0,-135
  └─ Other income normal,34,41,31,-87,25,19,23,27,18,27,23,22,31
Interest,7,5,5,5,4,3,4,4,3,3,4,5,6
Depreciation,53,46,46,48,51,51,52,53,56,59,62,61,65
Profit before tax,190,160,148,163,180,158,162,43,105,86,113,113,-30
Tax %,22%,26%,30%,31%,21%,27%,28%,13%,71%,30%,34%,35%,34%
Net Profit,149,118,104,112,143,115,116,38,30,60,74,73,-40
  └─ Minority share,-12,-5,-2,-1,-8,-2,-0,-3,-1,2,0,3,22
  └─ Exceptional items AT,18,0,0,77,0,0,0,-54,0,0,0,0,-94
  └─ Profit excl Excep,131,118,104,35,143,115,116,91,30,60,74,73,54
  └─ Profit for PE,120,113,102,35,135,113,116,84,29,62,75,76,24
  └─ Profit for EPS,137,113,102,111,135,113,116,35,29,62,75,76,-18
  └─ YOY Profit Growth %,111%,44%,14%,-68%,12%,-0%,14%,141%,-78%,-45%,-36%,-10%,-18%
EPS in Rs,7.22,5.96,5.36,5.86,7.09,5.94,6.09,1.83,1.53,3.25,3.91,3.99,-0.92
Raw PDF,,,,,,,,,,,,,
