Metric,Mar 2023,Jun 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue,0.00,0.80,1.25,-0.39,1.39,1.30,0.82,0.01
  └─ YOY Sales Growth %,,,,,74%,,-34%,103%
Interest,0.00,0.30,0.89,-0.90,0.78,0.35,-0.02,0.00
Expenses,0.00,0.46,0.35,0.16,0.80,0.44,0.66,0.26
  └─ Employee Cost %,,26%,17%,,11%,6%,12%,1200%
Financing Profit,0.00,0.04,0.01,0.35,-0.19,0.51,0.18,-0.25
Financing Margin %,,5.00%,0.80%,-89.74%,-13.67%,39.23%,21.95%,-2500.00%
Other Income,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.62
  └─ Other income normal,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.62
Depreciation,0.00,0.00,0.00,0.00,0.01,0.05,0.03,0.03
Profit before tax,0.00,0.04,0.01,0.36,-0.20,0.46,0.15,0.34
Tax %,,0.00%,0.00%,102.78%,0.00%,0.00%,0.00%,64.71%
Net Profit,0.00,0.04,0.01,-0.01,-0.20,0.46,0.15,0.12
  └─ Profit excl Excep,0,0,0,-0,-0,0,0,0
  └─ Profit for PE,0,0,0,-0,-0,0,0,0
  └─ Profit for EPS,0,0,0,-0,-0,0,0,0
  └─ YOY Profit Growth %,,,,,-600%,,1400%,1300%
EPS in Rs,0.00,0.03,0.01,-0.01,-0.17,0.39,0.13,0.10
Gross NPA %,,,,,,,,
Net NPA %,,,,,,,,
Raw PDF,,,,,,,,
