Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,46.00,49.25,42.31,40.44,39.09,44.38,31.53,30.81,17.32,50.57,29.10,35.95,35.01
  └─ YOY Sales Growth %,202%,186%,65%,-4%,-15%,-10%,-25%,-24%,-56%,14%,-8%,17%,102%
Expenses,40.67,46.07,39.77,33.15,35.64,34.21,25.55,25.70,14.40,53.45,26.92,33.50,32.22
  └─ Material Cost %,58%,65%,67%,61%,63%,45%,74%,48%,58%,92%,71%,61%,75%
  └─ Employee Cost %,15%,15%,13%,13%,13%,19%,7%,17%,20%,14%,9%,11%,9%
Operating Profit,5.33,3.18,2.54,7.29,3.45,10.17,5.98,5.11,2.92,-2.88,2.18,2.45,2.79
OPM %,11.59%,6.46%,6.00%,18.03%,8.83%,22.92%,18.97%,16.59%,16.86%,-5.70%,7.49%,6.82%,7.97%
Other Income,0.08,2.05,0.01,0.09,0.08,1.03,0.04,0.30,0.00,2.78,1.06,1.80,0.83
  └─ Other income normal,0.08,2.05,0.01,0.09,0.08,1.03,0.04,0.30,0.00,2.78,1.06,1.80,0.83
Interest,1.21,2.23,2.03,0.93,1.41,5.51,0.83,1.42,1.03,-1.72,2.17,1.89,2.47
Depreciation,0.78,1.15,0.90,0.91,1.03,0.96,4.25,2.79,1.46,9.93,0.86,1.30,1.01
Profit before tax,3.42,1.85,-0.38,5.54,1.09,4.73,0.94,1.20,0.43,-8.31,0.21,1.06,0.14
Tax %,-0.88%,21.62%,15.79%,0.00%,0.00%,0.00%,9.57%,-1.67%,18.60%,2.53%,23.81%,14.15%,21.43%
Net Profit,3.44,1.44,-0.45,5.54,1.08,4.73,0.85,1.22,0.35,-8.53,0.16,0.91,0.11
  └─ Minority share,-1,-0,0,0,-0,-1,0,0,-0,0,0,-1,-0
  └─ Profit excl Excep,3,1,-0,6,1,5,1,1,0,-9,0,1,0
  └─ Profit for PE,2,1,-0,6,1,4,1,1,0,-9,0,0,0
  └─ Profit for EPS,2,1,-0,6,1,4,1,1,0,-9,0,0,0
  └─ YOY Profit Growth %,114%,-28%,-125%,5%,-60%,258%,289%,-78%,-76%,-320%,-81%,-67%,-75%
EPS in Rs,0.42,0.18,-0.08,0.94,0.13,0.50,0.11,0.16,0.03,-1.09,0.02,0.05,0.01
Raw PDF,,,,,,,,,,,,,
