Metric,Jun 2018,Sep 2018,Jun 2019,Sep 2019
Sales,4.73,6.78,6.08,4.39
  └─ YOY Sales Growth %,,,28.54%,-35.25%
Expenses,4.31,5.35,5.17,3.36
  └─ Material Cost %,64%,36%,75%,64%
  └─ Employee Cost %,5%,4%,5%,7%
Operating Profit,0.42,1.43,0.91,1.03
OPM %,8.88%,21.09%,14.97%,23.46%
Other Income,0.38,0.16,0.09,0.09
  └─ Other income normal,0.38,0.16,0.09,0.09
Interest,0.19,0.41,0.26,0.45
Depreciation,0.49,0.53,0.62,0.63
Profit before tax,0.12,0.65,0.12,0.04
Tax %,25.00%,3.08%,25.00%,25.00%
Net Profit,0.10,0.63,0.09,0.03
  └─ Profit excl Excep,0,1,0,0
  └─ Profit for PE,0,1,0,0
  └─ Profit for EPS,0,1,0,0
  └─ YOY Profit Growth %,,,-10%,-95%
EPS in Rs,0.05,0.33,0.05,0.02
Raw PDF,,,,
