Metric,Mar 2020,Sep 2020,Mar 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,14.84,9.62,18.23,19.51,21.71,23.43,26.23,26.20,27.23,30.90,32.20,36.97,31.51
Expenses,12.48,10.75,14.39,18.32,19.18,22.97,23.49,23.14,23.88,27.25,29.43,34.46,29.19
  └─ Material Cost %,49.93%,44.28%,39.22%,42.23%,34.18%,40.29%,37.67%,36.91%,37.28%,39.51%,35.19%,40.52%,28.18%
  └─ Employee Cost %,8.89%,20.58%,10.26%,16.76%,17.46%,17.03%,15.86%,17.86%,16.27%,17.15%,18.26%,21.18%,19.58%
Operating Profit,2.36,-1.13,3.84,1.19,2.53,0.46,2.74,3.06,3.35,3.65,2.77,2.51,2.32
OPM %,15.90%,-11.75%,21.06%,6.10%,11.65%,1.96%,10.45%,11.68%,12.30%,11.81%,8.60%,6.79%,7.36%
Other Income,0.72,0.33,0.53,0.90,0.69,2.16,0.62,0.32,0.15,0.31,0.74,1.58,2.06
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.18,-0.09,-0.04,-0.05,-0.05,-0.05
  └─ Other income normal,0.72,0.33,0.53,0.90,0.69,2.16,0.62,0.50,0.24,0.35,0.79,1.63,2.11
Interest,0.69,0.56,0.65,0.71,0.85,0.73,0.78,0.82,0.76,0.67,0.86,0.86,0.63
Depreciation,1.19,1.07,1.07,0.95,1.02,0.88,1.02,0.84,0.88,0.76,0.96,0.95,1.08
Profit before tax,1.20,-2.43,2.65,0.43,1.35,1.01,1.56,1.72,1.86,2.53,1.69,2.28,2.67
Tax %,45.00%,-2.06%,7.55%,23.26%,8.89%,14.85%,10.26%,14.53%,6.45%,11.46%,6.51%,9.65%,14.61%
Net Profit,0.65,-2.38,2.46,0.33,1.23,0.86,1.39,1.48,1.74,2.25,1.58,2.06,2.28
  └─ Minority share,-0.22,-0.21,0.24,0.10,-0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.15,-0.08,-0.04,-0.04,-0.04,-0.04
  └─ Profit excl Excep,0.65,-2.38,2.46,0.33,1.23,0.86,1.39,1.63,1.82,2.29,1.62,2.10,2.32
  └─ Profit for PE,0.43,-2.59,2.70,0.43,1.05,0.86,1.39,1.63,1.82,2.29,1.62,2.10,2.32
  └─ Profit for EPS,0.43,-2.59,2.70,0.43,1.05,0.86,1.39,1.48,1.74,2.25,1.58,2.06,2.28
EPS in Rs,0.25,-1.52,1.58,0.25,0.62,0.50,0.82,0.87,1.02,1.27,0.89,1.16,1.29
Raw PDF,,,,,,,,,,,,,
