Metric,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023
Sales,4.15,2.26,1.04,0.79,2.38,1.43,1.56,1.72,1.37,2.53,3.94,10.08,0.92
  └─ YOY Sales Growth %,-44.37%,-90.21%,-83.31%,-41.48%,-42.65%,-36.73%,50.00%,117.72%,-42.44%,76.92%,152.56%,486.05%,-32.85%
Expenses,3.99,2.38,0.76,0.85,1.62,1.37,1.21,1.41,1.15,1.41,4.48,9.22,0.80
  └─ Material Cost %,92%,96%,57%,73%,58%,83%,64%,60%,74%,49%,107%,90%,66%
  └─ Employee Cost %,3%,6%,7%,19%,7%,6%,6%,5%,7%,4%,3%,1%,11%
Operating Profit,0.16,-0.12,0.28,-0.06,0.76,0.06,0.35,0.31,0.22,1.12,-0.54,0.86,0.12
OPM %,3.86%,-5.31%,26.92%,-7.59%,31.93%,4.20%,22.44%,18.02%,16.06%,44.27%,-13.71%,8.53%,13.04%
Other Income,0.05,0.23,0.05,0.48,0.54,0.01,0.00,0.01,0.00,0.04,0.00,0.01,0.03
  └─ Other income normal,0.05,0.23,0.05,0.48,0.54,0.01,0.00,0.01,0.00,0.04,0.00,0.01,0.03
Interest,0.10,3.21,0.06,0.02,0.02,3.18,0.04,0.29,0.01,3.35,0.13,0.15,0.03
Depreciation,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.07,0.07,0.07
Profit before tax,0.08,-3.13,0.24,0.37,1.25,-3.14,0.28,0.00,0.18,-2.26,-0.74,0.65,0.05
Tax %,0.00%,15.34%,0.00%,0.00%,0.00%,7.96%,0.00%,,0.00%,1.33%,0.00%,0.00%,0.00%
Net Profit,0.01,-2.82,0.24,0.41,1.31,-1.80,0.29,0.00,0.19,-1.19,-0.72,0.66,-0.04
  └─ Profit from Associates,-0,1,-0,0,0,2,0,0,0,1,0,0,-0
  └─ Minority share,-0,2,0,0,0,1,0,0,0,1,0,0,-0
  └─ Profit excl Excep,0,-3,0,0,1,-2,0,0,0,-1,-1,1,-0
  └─ Profit for PE,-0,-0,0,0,1,-0,0,0,0,-0,-1,1,-0
  └─ Profit for EPS,-0,-0,0,0,1,-0,0,0,0,-0,-1,1,-0
  └─ YOY Profit Growth %,-150%,-4800%,93%,-82%,13700%,0%,7%,-100%,-86%,45%,-341%,,-158%
EPS in Rs,-0.01,-0.31,0.17,0.28,0.87,-0.31,0.19,0.00,0.12,-0.17,-0.45,0.42,-0.07
Raw PDF,,,,,,,,,,,,,
