Metric,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,2.58,6.00,6.53,5.94,7.64,11.31,7.80,19.56,22.95,26.42,25.29
  └─ YOY Sales Growth %,,,,,196%,88%,19%,229%,200%,134%,224%
Expenses,2.40,5.12,6.15,5.04,7.00,10.85,8.19,21.67,26.18,28.75,17.19
  └─ Material Cost %,74.42%,62.83%,54.52%,42.59%,50.00%,62.16%,54.49%,56.65%,56.99%,65.10%,40.37%
  └─ Employee Cost %,13.18%,17.33%,28.79%,30.81%,28.66%,23.08%,38.21%,25.00%,27.28%,22.67%,15.50%
Operating Profit,0.18,0.88,0.38,0.90,0.64,0.46,-0.39,-2.11,-3.23,-2.33,8.10
OPM %,6.98%,14.67%,5.82%,15.15%,8.38%,4.07%,-5.00%,-10.79%,-14.07%,-8.82%,32.03%
Other Income,0.00,0.00,0.14,0.02,0.06,0.10,0.02,0.11,0.09,0.04,0.23
  └─ Other income normal,0.00,0.00,0.14,0.02,0.06,0.10,0.02,0.11,0.09,0.04,0.23
Interest,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.29,0.30,0.35,0.42
Depreciation,0.02,0.05,0.05,0.05,0.06,0.16,0.11,1.00,1.00,1.01,1.02
Profit before tax,0.16,0.83,0.47,0.87,0.64,0.33,-0.51,-3.29,-4.44,-3.65,6.89
Tax %,25.00%,26.51%,36.17%,6.90%,46.88%,66.67%,1.96%,4.26%,-0.23%,0.82%,1.60%
Net Profit,0.12,0.61,0.30,0.82,0.34,0.11,-0.52,-3.43,-4.43,-3.68,6.78
  └─ Minority share,0,0,0,0,0,0,0,2,2,2,-5
  └─ Profit excl Excep,0,1,0,1,0,0,-1,-3,-4,-4,7
  └─ Profit for PE,0,1,0,1,0,0,-1,-2,-2,-2,2
  └─ Profit for EPS,0,1,0,1,0,0,-1,-2,-2,-2,2
  └─ YOY Profit Growth %,,,,,183%,-82%,-273%,-311%,-809%,-1945%,398%
EPS in Rs,0.66,3.35,1.65,4.51,1.87,0.60,-2.59,-8.62,-12.01,-10.12,7.72
Raw PDF,,,,,,,,,,,
