Metric,Jun 2009,Sep 2009,Dec 2009,Mar 2010,Jun 2010,Sep 2010,Dec 2010,Mar 2011
Sales,0.23,0.78,0.04,0.22,0.09,0.06,0.07,0.07
  └─ YOY Sales Growth %,,,,,-61%,-92%,75%,-68%
Expenses,0.20,0.34,0.13,0.33,0.06,0.09,0.12,0.17
  └─ Material Cost %,43%,23%,50%,86%,0%,0%,0%,0%
  └─ Employee Cost %,13%,5%,75%,9%,44%,117%,114%,71%
Operating Profit,0.03,0.44,-0.09,-0.11,0.03,-0.03,-0.05,-0.10
OPM %,13.04%,56.41%,-225.00%,-50.00%,33.33%,-50.00%,-71.43%,-142.86%
Other Income,0.00,0.00,0.00,0.37,0.00,0.00,0.00,0.00
  └─ Other income normal,0.00,0.00,0.00,0.37,0.00,0.00,0.00,0.00
Interest,0.00,0.02,0.04,0.05,0.04,0.02,0.04,0.02
Depreciation,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01
Profit before tax,0.03,0.42,-0.13,0.20,-0.01,-0.05,-0.09,-0.13
Tax %,0.00%,4.76%,-7.69%,0.00%,800.00%,0.00%,33.33%,-46.15%
Net Profit,0.03,0.40,-0.12,0.20,-0.09,-0.05,-0.12,-0.09
  └─ Profit excl Excep,0,0,-0,0,-0,-0,-0,-0
  └─ Profit for PE,0,0,-0,0,-0,-0,-0,-0
  └─ Profit for EPS,0,0,-0,0,-0,-0,-0,-0
  └─ YOY Profit Growth %,,,,,-400%,-112%,0%,-145%
EPS in Rs,0.10,1.33,-0.40,0.67,-0.30,-0.17,-0.40,-0.30
Raw PDF,,,,,,,,
