Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,742,661,642,606,620,555,598,557,677,591,653,602,720
  └─ YOY Sales Growth %,6.93%,6.29%,-6.71%,-8.74%,-16.49%,-16.00%,-6.74%,-8.14%,9.16%,6.33%,9.10%,8.10%,6.43%
Expenses,649,577,565,536,534,490,531,495,583,516,569,547,624
  └─ Material Cost %,69%,68%,67%,67%,64%,65%,66%,63%,64%,63%,63%,64%,63%
  └─ Employee Cost %,3%,4%,4%,4%,4%,5%,4%,5%,5%,5%,5%,6%,4%
Operating Profit,94,84,76,70,86,65,67,62,93,74,84,55,96
OPM %,13%,13%,12%,12%,14%,12%,11%,11%,14%,13%,13%,9%,13%
Other Income,1,1,1,2,1,1,1,12,2,0,0,1,1
  └─ Other income normal,0.87,0.60,0.69,1.67,1.08,1.11,1.48,11.90,1.87,0.31,0.09,1.23,0.76
Interest,9,9,8,8,9,9,9,9,9,9,8,9,8
Depreciation,12,13,13,13,14,13,14,14,15,15,16,18,18
Profit before tax,73,64,56,52,64,44,46,51,71,51,60,29,70
Tax %,23%,24%,30%,29%,26%,24%,24%,27%,12%,-6%,25%,-40%,21%
Net Profit,56,48,40,37,47,33,35,37,63,54,45,41,55
  └─ Minority share,-0,-0,-0,-0,0,-0,0,-0,0,-0,0,-0,-0
  └─ Profit excl Excep,56,48,40,37,47,33,35,37,63,54,45,41,55
  └─ Profit for PE,56,48,40,37,47,33,35,37,63,54,45,41,55
  └─ Profit for EPS,56,48,40,37,47,33,35,37,63,54,45,41,55
  └─ YOY Profit Growth %,1%,38%,2%,-0%,-16%,-31%,-12%,1%,33%,62%,29%,9%,-12%
EPS in Rs,6.06,5.17,4.31,3.99,5.15,3.62,3.84,4.06,6.89,5.91,4.96,4.44,6.05
Raw PDF,,,,,,,,,,,,,
