Metric,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019
Sales,0.05,0.08,0.06,0.20,0.03,0.01,0.03
  └─ YOY Sales Growth %,,,,,-40%,-88%,-50%
Expenses,0.22,0.19,0.21,0.28,0.15,0.13,0.39
  └─ Material Cost %,-20%,12%,0%,0%,0%,0%,0%
  └─ Employee Cost %,300%,125%,200%,70%,267%,900%,333%
Operating Profit,-0.17,-0.11,-0.15,-0.08,-0.12,-0.12,-0.36
OPM %,-340.00%,-137.50%,-250.00%,-40.00%,-400.00%,-1200.00%,-1200.00%
Other Income,0.05,0.05,0.16,0.01,0.05,0.02,0.11
  └─ Other income normal,0.05,0.05,0.16,0.01,0.05,0.02,0.11
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.00,0.00,0.00,0.01,0.03,0.03,1.95
Profit before tax,-0.12,-0.06,0.01,-0.08,-0.10,-0.13,-2.20
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Net Profit,-0.11,-0.06,0.01,-0.08,-0.10,-0.13,-2.20
  └─ Minority share,0,0,0,-0,0,0,0
  └─ Profit excl Excep,-0,-0,0,-0,-0,-0,-2
  └─ Profit for PE,-0,-0,0,-0,-0,-0,-2
  └─ Profit for EPS,-0,-0,0,-0,-0,-0,-2
  └─ YOY Profit Growth %,,,,,17%,-200%,-2886%
EPS in Rs,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,-0.04
Raw PDF,,,,,,,
