Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,0.39,0.83,0.12,0.16,0.39,0.76,0.43,0.68,0.58,0.81,0.50,0.00,0.00
  └─ YOY Sales Growth %,,89%,,,0%,-8%,258%,325%,49%,7%,16%,-100%,-100%
Expenses,0.46,1.93,0.20,0.35,0.41,4.26,0.60,1.04,-2.43,-1.03,0.48,0.18,0.16
  └─ Employee Cost %,10.26%,3.61%,25.00%,18.75%,7.69%,2.63%,6.98%,4.41%,6.90%,3.70%,8.00%,,
Operating Profit,-0.07,-1.10,-0.08,-0.19,-0.02,-3.50,-0.17,-0.36,3.01,1.84,0.02,-0.18,-0.16
OPM %,-17.95%,-132.53%,-66.67%,-118.75%,-5.13%,-460.53%,-39.53%,-52.94%,518.97%,227.16%,4.00%,,
Other Income,19.53,0.00,1.38,0.01,3.09,1.60,0.04,0.06,19.38,4.54,0.52,0.50,0.57
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.96,1.33,0.00,0.00,0.00
  └─ Other income normal,19.53,0.00,1.38,0.01,3.09,1.60,0.04,0.06,0.42,3.21,0.52,0.50,0.57
Interest,1.21,1.21,1.32,1.32,1.32,1.32,1.45,1.45,1.45,1.45,1.59,1.61,1.61
Depreciation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Profit before tax,18.25,-2.31,-0.02,-1.50,1.75,-3.22,-1.58,-1.75,20.94,4.93,-1.05,-1.29,-1.20
Tax %,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.83%
Net Profit,18.25,-2.31,-0.02,-1.50,1.75,-3.22,-1.58,-1.75,20.94,4.93,-1.05,-1.29,-1.21
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,19,1,0,0,0
  └─ Profit excl Excep,18,-2,-0,-2,2,-3,-2,-2,2,4,-1,-1,-1
  └─ Profit for PE,18,-2,-0,-2,2,-3,-2,-2,2,4,-1,-1,-1
  └─ Profit for EPS,18,-2,-0,-2,2,-3,-2,-2,21,5,-1,-1,-1
  └─ YOY Profit Growth %,516%,32%,99%,44%,-90%,-39%,-7800%,-17%,13%,212%,34%,26%,-161%
EPS in Rs,36.57,-4.63,-0.04,-3.01,3.51,-6.45,-3.17,-3.51,41.96,9.88,-2.10,-2.58,-2.42
Raw PDF,,,,,,,,,,,,,
