Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,3741,4100,4623,5007,5410,5812,6255,6733,7046,7267,7491,7898,8417
  └─ YOY Sales Growth %,43.61%,48.00%,53.23%,49.20%,44.61%,41.77%,35.32%,34.46%,30.23%,25.02%,19.76%,17.31%,19.46%
Interest,1734,2006,2204,2441,2579,2796,3059,3275,3365,3468,3517,3646,3753
Expenses,902,1174,1391,1412,1417,1727,1897,2038,2010,2286,2460,2554,2597
  └─ Employee Cost %,10.96%,9.05%,13.79%,13.88%,14.33%,11.94%,12.89%,13.27%,13.26%,12.88%,14.33%,13.85%,12.98%
Financing Profit,1105,920,1028,1155,1414,1289,1300,1420,1671,1512,1514,1698,2067
Financing Margin %,30%,22%,22%,23%,26%,22%,21%,21%,24%,21%,20%,22%,25%
Other Income,93,71,73,47,105,45,68,105,92,87,123,111,148
  └─ Other income normal,93,71,73,47,105,45,68,105,92,87,123,111,148
Depreciation,36,39,39,46,75,59,63,59,64,67,71,74,72
Profit before tax,1163,952,1062,1156,1444,1275,1305,1466,1699,1532,1566,1736,2143
Tax %,26%,25%,27%,25%,26%,26%,26%,26%,26%,26%,26%,26%,23%
Net Profit,855,710,773,872,1065,947,968,1088,1260,1138,1160,1290,1645
  └─ Profit excl Excep,855,710,773,872,1065,947,968,1088,1260,1138,1160,1290,1645
  └─ Profit for PE,855,710,773,872,1065,947,968,1088,1260,1138,1160,1290,1645
  └─ Profit for EPS,855,710,773,872,1065,947,968,1088,1260,1138,1160,1290,1645
  └─ YOY Profit Growth %,25%,26%,37%,27%,25%,33%,25%,25%,18%,20%,20%,19%,31%
EPS in Rs,10.40,8.64,9.40,10.39,12.68,11.27,11.52,12.94,14.98,13.53,13.78,15.28,19.31
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
