Metric,Sep 2024,Jun 2025,Sep 2025
Sales,10.96,11.36,16.89
  └─ YOY Sales Growth %,,,54%
Expenses,8.27,7.86,11.88
  └─ Material Cost %,65%,65%,57%
  └─ Employee Cost %,4%,4%,3%
Operating Profit,2.69,3.50,5.01
OPM %,24.54%,30.81%,29.66%
Other Income,0.02,0.01,0.00
  └─ Other income normal,0.02,0.01,0.00
Interest,0.43,0.43,0.45
Depreciation,0.98,0.91,1.31
Profit before tax,1.30,2.17,3.25
Tax %,24.62%,23.96%,25.85%
Net Profit,0.98,1.65,2.41
  └─ Profit excl Excep,1,2,2
  └─ Profit for PE,1,2,2
  └─ Profit for EPS,1,2,2
  └─ YOY Profit Growth %,,,146%
EPS in Rs,19.60,2.10,2.33
Raw PDF,,,
