Metric,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0.00,0.00,0.00,0.06,0.36,0.46,0.45,0.48,1.17
  └─ YOY Sales Growth %,,,,,,,,700%,225%
Expenses,0.63,0.12,0.22,0.11,0.10,0.23,0.24,0.26,0.60
  └─ Employee Cost %,,,,100.00%,27.78%,36.96%,31.11%,29.17%,10.26%
Operating Profit,-0.63,-0.12,-0.22,-0.05,0.26,0.23,0.21,0.22,0.57
OPM %,,,,-83.33%,72.22%,50.00%,46.67%,45.83%,48.72%
Other Income,-1.25,0.00,0.00,0.09,0.61,0.21,0.25,0.13,0.11
  └─ Exceptional items,-1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.00,0.00,0.00,0.09,0.61,0.21,0.25,0.13,0.11
Interest,0.00,0.00,0.05,0.01,0.02,0.01,0.01,0.09,0.13
Depreciation,0.00,0.00,0.00,0.02,0.05,0.04,0.04,0.04,0.05
Profit before tax,-1.88,-0.12,-0.27,0.01,0.80,0.39,0.41,0.22,0.50
Tax %,0.00%,0.00%,0.00%,100.00%,0.00%,17.95%,14.63%,109.09%,32.00%
Net Profit,-1.88,-0.12,-0.27,0.00,0.80,0.33,0.35,-0.02,0.35
  └─ Exceptional items AT,-1,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,-1,-0,-0,0,1,0,0,-0,0
  └─ Profit for PE,-1,-0,-0,0,1,0,0,-0,0
  └─ Profit for EPS,-2,-0,-0,0,1,0,0,-0,0
  └─ YOY Profit Growth %,,,,,227%,375%,230%,,-56%
EPS in Rs,-12.15,-0.78,-1.74,0.00,0.38,0.16,0.17,-0.01,0.16
Raw PDF,,,,,,,,,
