Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,12.25,13.47,12.61,13.34,11.87,15.38,13.90,14.91,14.45,16.80
  └─ YOY Sales Growth %,,,,,-3.10%,14.18%,10.23%,11.77%,21.74%,9.23%
Expenses,10.63,11.30,10.41,11.19,10.22,12.73,11.87,12.69,12.38,15.29
  └─ Material Cost %,63%,61%,57%,59%,59%,59%,62%,61%,59%,66%
  └─ Employee Cost %,9%,8%,10%,9%,11%,9%,10%,9%,10%,9%
Operating Profit,1.62,2.17,2.20,2.15,1.65,2.65,2.03,2.22,2.07,1.51
OPM %,13.22%,16.11%,17.45%,16.12%,13.90%,17.23%,14.60%,14.89%,14.33%,8.99%
Other Income,0.14,0.17,0.20,0.25,0.07,0.21,0.25,0.16,0.12,0.16
  └─ Other income normal,0.14,0.17,0.20,0.25,0.07,0.21,0.25,0.16,0.12,0.16
Interest,0.10,0.10,0.10,0.09,0.10,0.09,0.09,0.09,0.08,0.11
Depreciation,0.27,0.26,0.28,0.28,0.30,0.27,0.29,0.29,0.35,0.38
Profit before tax,1.39,1.98,2.02,2.03,1.32,2.50,1.90,2.00,1.76,1.18
Tax %,24.46%,20.71%,25.74%,24.14%,26.52%,25.20%,26.32%,25.00%,30.11%,27.97%
Net Profit,1.05,1.57,1.50,1.53,0.94,1.80,1.26,1.34,1.09,0.71
  └─ Profit from Associates,0,0,0,0,-0,-0,-0,-0,-0,-0
  └─ Profit excl Excep,1,2,2,2,1,2,1,1,1,1
  └─ Profit for PE,1,2,2,2,1,2,1,1,1,1
  └─ Profit for EPS,1,2,2,2,1,2,1,1,1,1
  └─ YOY Profit Growth %,,,,,-10%,15%,-16%,-12%,16%,-61%
EPS in Rs,3.50,5.23,5.00,4.82,2.96,5.67,3.97,4.22,3.43,2.24
Raw PDF,,,,,,,,,,
