Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,141.64,223.35,178.18,193.98,155.26,184.42,210.86,211.09,213.09,228.21,255.45,244.49,237.52
  └─ YOY Sales Growth %,-17.02%,27.73%,-0.57%,9.31%,9.62%,-17.43%,18.34%,8.82%,37.25%,23.74%,21.15%,15.82%,11.46%
Expenses,135.12,210.43,165.68,175.21,141.25,170.92,192.04,196.20,195.98,210.83,235.28,222.25,219.23
  └─ Material Cost %,68%,72%,71%,68%,70%,71%,71%,73%,72%,71%,73%,70%,72%
  └─ Employee Cost %,4%,3%,4%,4%,4%,3%,3%,4%,4%,4%,3%,3%,4%
Operating Profit,6.52,12.92,12.50,18.77,14.01,13.50,18.82,14.89,17.11,17.38,20.17,22.24,18.29
OPM %,4.60%,5.78%,7.02%,9.68%,9.02%,7.32%,8.93%,7.05%,8.03%,7.62%,7.90%,9.10%,7.70%
Other Income,0.04,2.20,0.25,0.51,0.41,0.62,0.08,1.30,0.19,0.20,0.03,0.10,0.03
  └─ Other income normal,0.04,2.20,0.25,0.51,0.41,0.62,0.08,1.30,0.19,0.20,0.03,0.10,0.03
Interest,5.30,8.00,7.70,7.84,7.99,8.08,8.94,9.65,9.84,9.98,10.22,11.09,11.36
Depreciation,6.85,7.36,6.45,6.49,6.60,6.50,7.09,7.22,7.21,7.12,7.47,7.61,5.48
Profit before tax,-5.59,-0.24,-1.40,4.95,-0.17,-0.46,2.87,-0.68,0.25,0.48,2.51,3.64,1.48
Tax %,-11.63%,-29.17%,-25.00%,16.57%,-47.06%,-202.17%,1.39%,-38.24%,-120.00%,102.08%,-9.16%,-4.95%,-95.27%
Net Profit,-4.94,-0.17,-1.06,4.14,-0.09,0.47,2.83,-0.42,0.54,-0.02,2.74,3.82,2.88
  └─ Profit excl Excep,-5,-0,-1,4,-0,0,3,-0,1,-0,3,4,3
  └─ Profit for PE,-5,-0,-1,4,-0,0,3,-0,1,-0,3,4,3
  └─ Profit for EPS,-5,-0,-1,4,-0,0,3,-0,1,-0,3,4,3
  └─ YOY Profit Growth %,-135%,-102%,-122%,136%,98%,376%,367%,-110%,700%,-104%,-3%,1010%,433%
EPS in Rs,-0.19,-0.01,-0.04,0.16,-0.00,0.02,0.11,-0.02,0.02,-0.00,0.11,0.15,0.11
Raw PDF,,,,,,,,,,,,,
