Metric,Dec 2023,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,8,4,3,6,6,5,11,15,6
  └─ YOY Sales Growth %,,,,-25.45%,,17.56%,231.38%,142.74%,-11.34%
Expenses,9,8,9,8,6,8,13,16,5
  └─ Material Cost %,79.55%,134.86%,209.38%,77.19%,87.06%,139.39%,91.15%,90.01%,25.77%
  └─ Employee Cost %,19.86%,43.77%,30.21%,26.00%,21.09%,27.06%,16.64%,10.45%,41.62%
Operating Profit,-1,-4,-5,-2,-0,-4,-2,-1,1
OPM %,-9%,-94%,-157%,-24%,-1%,-79%,-18%,-7%,13%
Other Income,0,0,0,0,0,10,6,8,19
  └─ Other income normal,0.16,0.08,0.04,0.02,0.09,9.87,5.61,7.57,19.35
Interest,0,0,0,0,0,0,0,0,1
Depreciation,0,0,0,0,-0,0,0,-0,0
Profit before tax,-1,-4,-6,-2,-0,6,3,6,19
Tax %,2%,0%,0%,3%,14%,-1%,-1%,1%,1%
Net Profit,-1,-4,-6,-2,-0,6,3,6,18
  └─ Profit excl Excep,-1,-4,-6,-2,-0,6,3,6,18
  └─ Profit for PE,-1,-4,-6,-2,-0,6,3,6,18
  └─ Profit for EPS,-1,-4,-6,-2,-0,6,3,6,18
  └─ YOY Profit Growth %,,,,-64%,,235%,150%,405%,4505%
EPS in Rs,-1.15,-3.85,-5.41,-1.89,-0.39,5.22,2.69,5.76,17.30
Raw PDF,,,,,,,,,
