Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,131,138,137,149,149,160,168,177,181,214,206,207
  └─ YOY Sales Growth %,,,,,13.98%,15.75%,22.88%,18.97%,21.65%,34.23%,22.48%,16.66%
Expenses,109,113,116,127,128,136,147,151,159,190,183,183
  └─ Material Cost %,0.11%,0.04%,-0.09%,0.22%,0.03%,0.02%,2.62%,0.17%,0.03%,0.42%,0.22%,0.44%
  └─ Employee Cost %,9.84%,9.71%,12.15%,9.65%,10.19%,10.01%,9.42%,8.87%,10.76%,10.13%,11.10%,10.63%
Operating Profit,22,25,21,22,21,24,22,26,22,25,23,24
OPM %,17%,18%,15%,15%,14%,15%,13%,15%,12%,11%,11%,12%
Other Income,2,2,2,8,3,3,2,3,3,2,3,4
  └─ Other income normal,1.51,1.97,1.97,8.34,2.71,2.73,1.55,2.95,2.88,1.94,2.86,3.62
Interest,1,1,0,1,1,1,0,0,0,0,0,0
Depreciation,4,4,5,6,4,5,6,6,6,7,7,8
Profit before tax,19,22,18,24,19,21,17,23,19,19,19,20
Tax %,27%,23%,19%,26%,28%,25%,25%,20%,29%,25%,25%,20%
Net Profit,14,16,14,18,14,16,13,18,13,15,14,16
  └─ Profit excl Excep,13.94,16.47,14.15,17.97,13.51,15.75,12.78,18.07,13.29,14.61,13.94,15.74
  └─ Profit for PE,13.94,16.47,14.15,17.97,13.51,15.75,12.78,18.07,13.29,14.61,13.94,15.74
  └─ Profit for EPS,13.94,16.47,14.15,17.97,13.51,15.75,12.78,18.07,13.29,14.61,13.94,15.74
  └─ YOY Profit Growth %,,,,,-3.08%,-4.37%,-9.68%,0.56%,-1.63%,-7.24%,9.08%,-12.89%
EPS in Rs,23233.33,27450.00,2.36,3.00,2.25,2.62,2.13,3.01,2.22,2.44,2.32,2.62
Raw PDF,,,,,,,,,,,,
