Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,3328,3537,1596,2936,3409,3574,3457,4004,4426,6066,7565,8480
  └─ YOY Sales Growth %,,,,,2%,1%,117%,36%,30%,70%,119%,112%
Expenses,2861,3020,1425,2518,2856,3050,2736,3081,3429,4659,5637,6904
  └─ Material Cost %,81%,80%,77%,77%,76%,78%,71%,68%,68%,65%,64%,74%
  └─ Employee Cost %,1%,1%,3%,2%,2%,2%,2%,3%,3%,3%,2%,2%
Operating Profit,468,517,171,418,552,525,722,923,997,1406,1928,1577
OPM %,14%,15%,11%,14%,16%,15%,21%,23%,23%,23%,25%,19%
Other Income,87,21,105,364,88,89,88,133,171,161,-99,180
  └─ Exceptional items,0,0,49,292,0,0,0,-4,0,0,-295,0
  └─ Other income normal,87,21,56,72,88,89,88,137,171,161,196,180
Interest,40,33,18,48,34,31,31,57,43,96,93,48
Depreciation,57,71,74,75,76,84,89,153,182,240,267,301
Profit before tax,457,435,184,659,531,499,690,845,943,1231,1469,1408
Tax %,26%,26%,23%,28%,24%,25%,27%,24%,18%,29%,25%,20%
Net Profit,338,320,141,475,401,376,507,644,773,878,1107,1126
  └─ Minority share,-2,-5,-16,-14,-7,-14,-14,-26,-28,-36,-44,-65
  └─ Exceptional items AT,0,0,23,196,0,0,0,-3,0,0,-218,0
  └─ Profit excl Excep,338,320,118,279,401,376,507,648,773,878,1324,1126
  └─ Profit for PE,336,315,105,271,394,362,493,622,745,843,1271,1061
  └─ Profit for EPS,336,315,125,462,394,362,493,619,745,843,1062,1061
  └─ YOY Profit Growth %,,,,,17%,15%,371%,130%,89%,133%,158%,71%
EPS in Rs,17.05,15.98,6.32,23.41,19.99,13.73,17.15,21.54,25.94,29.29,36.94,36.89
Raw PDF,,,,,,,,,,,,
