Metric,Dec 2025,Mar 2026
Sales,28.23,34.34
Expenses,22.54,27.47
  └─ Material Cost %,54%,50%
  └─ Employee Cost %,15%,12%
Operating Profit,5.69,6.87
OPM %,20.16%,20.01%
Other Income,0.18,0.54
  └─ Other income normal,0.18,0.54
Interest,2.00,1.90
Depreciation,2.22,1.99
Profit before tax,1.65,3.52
Tax %,-349.09%,10.23%
Net Profit,7.40,3.15
  └─ Profit excl Excep,7.40,3.15
  └─ Profit for PE,7.40,3.15
  └─ Profit for EPS,7.40,3.15
EPS in Rs,5.16,2.19
Raw PDF,,
