Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1447,1224,1433,1709,1560,1436,1621,1895
  └─ YOY Sales Growth %,,,,,7.78%,17.38%,13.16%,10.86%
Expenses,1279,1139,1317,1469,1237,1169,1336,1530
  └─ Material Cost %,23.10%,26.95%,24.04%,26.38%,25.59%,22.17%,25.56%,26.32%
  └─ Employee Cost %,6.91%,7.24%,5.94%,5.60%,5.21%,5.86%,5.59%,4.53%
Operating Profit,168,84,116,240,323,268,285,365
OPM %,12%,7%,8%,14%,21%,19%,18%,19%
Other Income,24,27,28,28,-1444,34,67,22
  └─ Exceptional items,0.00,0.00,0.00,0.00,-1466.38,0.00,-33.66,-4.44
  └─ Other income normal,24.32,27.38,28.49,28.21,22.18,33.54,100.83,26.63
Interest,110,109,116,114,102,100,87,89
Depreciation,74,77,81,79,78,80,81,84
Profit before tax,8,-75,-53,76,-1302,121,184,215
Tax %,394%,2%,51%,79%,5%,38%,29%,-68%
Net Profit,-24,-76,-80,16,-1366,75,131,362
  └─ Minority share,9,11,11,18,10,11,11,10
  └─ Exceptional items AT,0,0,0,0,-1402,0,-24,-4
  └─ Profit excl Excep,-24,-76,-80,16,35,75,154,366
  └─ Profit for PE,-15,-64,-69,34,35,86,166,376
  └─ Profit for EPS,-15,-64,-69,34,-1356,86,142,371
  └─ YOY Profit Growth %,,,,,331%,234%,341%,998%
EPS in Rs,-0.15,-0.63,-0.68,0.34,-13.31,0.63,1.04,2.72
Raw PDF,,,,,,,,
