Metric,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,24.43,17.58,31.93,24.30,24.20
Expenses,16.95,17.20,23.78,19.58,20.61
  └─ Material Cost %,33.77%,45.79%,36.86%,28.44%,26.82%
  └─ Employee Cost %,16.99%,30.60%,16.85%,25.14%,30.08%
Operating Profit,7.48,0.38,8.15,4.72,3.59
OPM %,30.62%,2.16%,25.52%,19.42%,14.83%
Other Income,0.16,0.08,0.16,0.07,1.13
  └─ Other income normal,0.16,0.08,0.16,0.07,1.13
Interest,0.92,0.92,1.05,1.28,1.65
Depreciation,1.04,0.92,1.42,1.19,1.67
Profit before tax,5.68,-1.38,5.84,2.32,1.40
Tax %,11.27%,-11.59%,26.03%,43.97%,-5.00%
Net Profit,5.03,-1.23,4.33,1.31,1.46
  └─ Profit excl Excep,5.03,-1.23,4.33,1.31,1.46
  └─ Profit for PE,5.03,-1.23,4.33,1.31,1.46
  └─ Profit for EPS,5.03,-1.23,4.33,1.31,1.46
EPS in Rs,4.14,-0.74,2.62,0.79,0.88
Raw PDF,,,,,
