Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0.20,0.23,0.49,0.09,1.08,1.00,2.41,4.89,5.38,5.89,5.61,3.94,2.65
  └─ YOY Sales Growth %,,,,,440%,335%,123%,389%,,,133%,-19%,-51%
Expenses,0.39,0.87,0.24,0.13,1.47,1.25,2.35,5.03,5.08,5.47,5.21,3.61,2.97
  └─ Material Cost %,45%,39%,33%,56%,51%,52%,0%,0%,0%,0%,0%,0%,0%
  └─ Employee Cost %,40%,43%,29%,0%,30%,25%,64%,95%,86%,78%,84%,70%,99%
Operating Profit,-0.19,-0.64,0.25,-0.04,-0.39,-0.25,0.06,-0.14,0.30,0.42,0.40,0.33,-0.32
OPM %,-95.00%,-278.26%,51.02%,-44.44%,-36.11%,-25.00%,2.49%,-2.86%,5.58%,7.13%,7.13%,8.38%,-12.08%
Other Income,0.01,0.07,0.05,0.01,-0.22,0.39,0.34,0.31,0.26,0.12,0.21,0.14,0.31
  └─ Other income normal,0.01,0.07,0.05,0.01,-0.22,0.39,0.34,0.31,0.26,0.12,0.21,0.14,0.31
Interest,0.00,0.00,0.05,0.00,0.00,0.00,0.03,0.13,0.12,0.11,0.10,0.07,0.06
Depreciation,0.03,0.04,0.04,0.02,0.02,0.02,0.23,0.46,0.45,0.42,0.41,0.31,0.39
Profit before tax,-0.21,-0.61,0.21,-0.05,-0.63,0.12,0.14,-0.42,-0.01,0.01,0.10,0.09,-0.46
Tax %,0.00%,3.28%,-52.38%,0.00%,0.00%,0.00%,71.43%,-9.52%,100.00%,300.00%,0.00%,133.33%,13.04%
Net Profit,-0.21,-0.62,0.32,-0.05,-0.64,0.11,0.04,-0.38,-0.02,-0.01,0.10,-0.03,-0.51
  └─ Profit excl Excep,-0,-1,0,-0,-1,0,0,-0,-0,-0,0,-0,-1
  └─ Profit for PE,-0,-1,0,-0,-1,0,0,-0,-0,-0,0,-0,-1
  └─ Profit for EPS,-0,-1,0,-0,-1,0,0,-0,-0,-0,0,-0,-1
  └─ YOY Profit Growth %,,,,,-205%,118%,106%,-445%,,,150%,92%,-2450%
EPS in Rs,-0.33,-0.99,0.37,-0.06,-0.73,0.13,0.03,-0.25,-0.01,-0.00,0.02,-0.01,-0.10
Raw PDF,,,,,,,,,,,,,
