Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,161,130,218,341,210,162,279,392
  └─ YOY Sales Growth %,,,,,29.86%,24.92%,28.01%,15.02%
Expenses,110,98,155,276,148,99,213,297
  └─ Employee Cost %,2.84%,4.00%,2.10%,1.41%,2.62%,4.49%,2.64%,2.60%
Operating Profit,51,32,63,65,61,63,66,95
OPM %,32%,25%,29%,19%,29%,39%,24%,24%
Other Income,15,7,8,9,8,8,7,7
  └─ Other income normal,15.42,6.82,8.43,8.65,7.67,7.64,6.82,6.83
Interest,0,0,0,0,0,0,0,0
Depreciation,11,11,12,11,7,6,6,9
Profit before tax,55,28,60,62,62,65,67,93
Tax %,25%,27%,28%,20%,26%,25%,25%,20%
Net Profit,42,20,43,50,46,48,51,74
  └─ Minority share,0,0,0,0,0,0,-1,1
  └─ Profit excl Excep,42,20,43,50,46,48,51,74
  └─ Profit for PE,42,20,43,50,46,48,50,75
  └─ Profit for EPS,42,20,43,50,46,48,50,75
  └─ YOY Profit Growth %,,,,,10%,139%,15%,50%
EPS in Rs,2.37,1.16,2.47,2.85,2.62,2.76,2.85,4.29
Raw PDF,,,,,,,,
