Metric,Sep 2019,Mar 2020,Sep 2020,Mar 2021
  └─ Material Cost %,42%,48%,62%,41%
  └─ Employee Cost %,12%,6%,38%,53%
  └─ Other income normal,0.03,0.04,0.01,2.26
  └─ Profit excl Excep,0.10,-0.06,-1.57,1.40
  └─ Profit for PE,0.10,-0.06,-1.57,1.40
  └─ Profit for EPS,0.10,-0.06,-1.57,1.40
