Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,118,136,145,183,195,187,187,204,194,219,224,240,261
  └─ YOY Sales Growth %,18.46%,20.90%,20.28%,49.33%,65.51%,36.99%,29.27%,11.59%,-0.78%,17.24%,19.77%,17.82%,34.65%
Interest,59,60,60,64,86,83,77,82,86,94,98,95,88
Expenses,25,24,20,42,59,47,42,38,43,59,55,53,72
  └─ Employee Cost %,8.28%,7.45%,8.07%,7.77%,6.67%,6.85%,7.70%,8.48%,9.51%,7.86%,8.18%,8.56%,7.80%
Financing Profit,33,53,64,77,50,57,68,84,65,66,71,93,102
Financing Margin %,28%,39%,45%,42%,26%,30%,36%,41%,33%,30%,32%,39%,39%
Other Income,-5,0,0,0,0,0,0,0,1,0,0,-1,0
  └─ Exceptional items,-4.53,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.78,0.00,0.00,-0.78,0.00
Depreciation,1,1,1,1,1,1,1,1,2,2,2,3,5
Profit before tax,28,52,64,76,50,56,67,82,63,64,69,89,97
Tax %,26%,26%,25%,26%,26%,26%,26%,24%,27%,26%,25%,25%,26%
Net Profit,21,38,47,56,37,41,50,62,46,47,52,66,72
  └─ Exceptional items AT,-3,0,0,0,0,0,0,0,1,0,0,-1,0
  └─ Profit excl Excep,23,38,47,56,36,41,50,62,46,47,52,67,72
  └─ Profit for PE,23,38,47,56,36,41,50,62,46,47,52,67,72
  └─ Profit for EPS,21,38,47,56,37,41,50,62,46,47,52,66,72
  └─ YOY Profit Growth %,57%,84%,96%,102%,55%,8%,5%,11%,26%,14%,3%,7%,58%
EPS in Rs,0.23,0.43,0.53,0.63,0.41,0.46,0.56,0.70,0.51,0.52,0.57,0.73,0.79
Gross NPA %,,0.26%,,,,,,1.05%,,,,0.81%,0.74%
Net NPA %,,0.04%,,,,,,0.80%,,,,0.65%,0.59%
Raw PDF,,,,,,,,,,,,,
