Metric,Mar 2020,Sep 2020,Mar 2021,Sep 2021,Mar 2022,Sep 2022
  └─ Material Cost %,104.93%,28.67%,162.81%,30.77%,,
  └─ Employee Cost %,13.73%,9.33%,19.83%,15.38%,,
  └─ Other income normal,0.13,0.01,0.97,0.13,0.20,0.00
  └─ Profit excl Excep,-0.68,0.16,-0.12,0.19,-0.41,-0.01
  └─ Profit for PE,-0.68,0.16,-0.12,0.19,-0.41,-0.01
  └─ Profit for EPS,-0.68,0.16,-0.12,0.19,-0.41,-0.01
