Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,206.93,200.10,163.28,145.52,153.51,142.23,161.17,152.21,240.78,88.06,33.77,11.86
  └─ YOY Sales Growth %,,,,,-26%,-29%,-1%,5%,57%,-38%,-79%,-92%
Expenses,201.05,191.67,151.83,144.07,162.44,136.66,153.31,141.81,253.24,86.46,33.11,12.88
  └─ Material Cost %,96%,95%,91%,97%,103%,95%,94%,91%,104%,96%,87%,89%
  └─ Employee Cost %,0%,0%,1%,1%,1%,1%,1%,0%,1%,1%,1%,4%
Operating Profit,5.88,8.43,11.45,1.45,-8.93,5.57,7.86,10.40,-12.46,1.60,0.66,-1.02
OPM %,2.84%,4.21%,7.01%,1.00%,-5.82%,3.92%,4.88%,6.83%,-5.17%,1.82%,1.95%,-8.60%
Other Income,0.17,0.29,2.92,1.05,-0.76,0.03,0.93,0.56,-0.29,0.01,0.08,0.03
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.00
  └─ Other income normal,0.17,0.29,2.92,1.05,-0.76,0.03,0.93,0.56,-0.70,0.01,0.08,0.03
Interest,0.83,0.86,0.43,0.20,0.18,0.35,0.38,0.25,0.78,0.04,0.42,0.01
Depreciation,0.63,0.83,0.83,0.82,0.82,0.83,0.83,0.83,-0.15,0.71,0.71,0.16
Profit before tax,4.59,7.03,13.11,1.48,-10.69,4.42,7.58,9.88,-13.38,0.86,-0.39,-1.16
Tax %,29.85%,27.88%,27.92%,29.05%,-27.13%,28.05%,34.70%,34.92%,-37.67%,33.72%,-30.77%,-25.86%
Net Profit,3.23,5.08,9.45,1.04,-7.78,3.18,4.94,6.43,-8.35,0.57,-0.26,-0.86
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,3,5,9,1,-8,3,5,6,-9,1,-0,-1
  └─ Profit for PE,3,5,9,1,-8,3,5,6,-9,1,-0,-1
  └─ Profit for EPS,3,5,9,1,-8,3,5,6,-8,1,-0,-1
  └─ YOY Profit Growth %,,,,,-341%,-37%,-48%,518%,-13%,-82%,-105%,-113%
EPS in Rs,2.05,2.64,4.46,0.44,-3.33,1.36,1.73,1.69,-2.19,0.15,-0.07,-0.23
Raw PDF,,,,,,,,,,,,
