Metric,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,2.97,1.73,4.79,3.41,2.92,3.60,4.46,5.10
Expenses,2.25,1.11,3.15,2.15,1.80,2.13,3.12,3.22
  └─ Employee Cost %,0.34%,0.58%,0.42%,26.10%,13.70%,25.00%,45.74%,48.63%
Operating Profit,0.72,0.62,1.64,1.26,1.12,1.47,1.34,1.88
OPM %,24.24%,35.84%,34.24%,36.95%,38.36%,40.83%,30.04%,36.86%
Other Income,0.08,0.22,0.41,0.97,1.41,1.21,1.64,1.33
  └─ Other income normal,0.08,0.22,0.41,0.97,1.41,1.21,1.64,1.33
Interest,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.04
Depreciation,0.02,0.03,0.05,0.09,0.07,0.08,0.06,0.22
Profit before tax,0.78,0.81,2.00,2.14,2.46,2.57,2.89,2.95
Tax %,25.64%,27.16%,24.00%,26.17%,24.39%,25.29%,25.26%,24.75%
Net Profit,0.59,0.60,1.52,1.58,1.85,2.00,2.31,2.35
  └─ Profit from Associates,0.00,0.00,0.00,0.00,0.00,0.07,0.15,0.14
  └─ Profit excl Excep,0.59,0.60,1.52,1.58,1.85,2.00,2.31,2.35
  └─ Profit for PE,0.59,0.60,1.52,1.58,1.85,2.00,2.31,2.35
  └─ Profit for EPS,0.59,0.60,1.52,1.58,1.85,2.00,2.31,2.35
EPS in Rs,0.39,0.29,0.75,0.78,0.91,0.98,1.13,1.15
Raw PDF,,,,,,,,
