Metric,Jun 2023,Jun 2024
Sales,304,291
  └─ YOY Sales Growth %,,-4.43%
Expenses,281,263
  └─ Material Cost %,80%,77%
Operating Profit,23,27
OPM %,8%,9%
Other Income,1,1
  └─ Other income normal,0.53,0.96
Interest,3,4
Depreciation,2,3
Profit before tax,18,22
Tax %,23%,23%
Net Profit,14,17
  └─ Profit excl Excep,14.11,16.51
  └─ Profit for PE,14.11,16.51
  └─ Profit for EPS,14.11,16.51
  └─ YOY Profit Growth %,,17.01%
EPS in Rs,4.78,1.18
Raw PDF,,
