Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,8.01,8.01,7.82,12.99,20.62,17.38,26.78,37.43
  └─ YOY Sales Growth %,,,,,157%,117%,242%,188%
Expenses,7.47,7.47,4.29,9.33,15.04,9.68,19.46,29.83
  └─ Material Cost %,21.47%,21.47%,36.06%,32.49%,39.19%,7.83%,20.76%,40.66%
  └─ Employee Cost %,36.58%,36.58%,11.64%,20.55%,14.79%,25.83%,15.09%,11.62%
Operating Profit,0.54,0.54,3.53,3.66,5.58,7.70,7.32,7.60
OPM %,6.74%,6.74%,45.14%,28.18%,27.06%,44.30%,27.33%,20.30%
Other Income,0.72,0.72,2.15,1.95,0.40,0.95,0.61,1.71
  └─ Other income normal,0.72,0.72,2.15,1.95,0.40,0.95,0.61,1.71
Interest,0.09,0.09,0.26,0.60,0.78,0.76,0.72,0.90
Depreciation,0.17,0.17,0.31,0.11,0.42,0.37,0.55,0.68
Profit before tax,1.00,1.00,5.11,4.90,4.78,7.52,6.66,7.73
Tax %,69.00%,69.00%,8.41%,22.04%,25.52%,29.12%,25.68%,43.98%
Net Profit,0.31,0.31,4.68,3.81,3.56,5.33,4.95,4.34
  └─ Minority share,0.20,0.00,-0.73,-0.56,0.13,-0.54,0.62,-0.25
  └─ Profit excl Excep,0.31,0.31,4.68,3.81,3.56,5.33,4.95,4.34
  └─ Profit for PE,0.51,0.31,3.95,3.25,3.69,4.79,5.57,4.09
  └─ Profit for EPS,0.51,0.31,3.95,3.25,3.69,4.79,5.57,4.09
  └─ YOY Profit Growth %,,,,,623.53%,1445.16%,41.01%,25.85%
EPS in Rs,0.39,0.23,2.92,2.38,2.68,2.78,3.24,2.38
Raw PDF,,,,,,,,
