Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1239,1291,1560,1568,1595,1666,1996
  └─ YOY Sales Growth %,,,,,28.78%,29.10%,27.95%
Expenses,1207,1255,1513,1515,1545,1612,1927
  └─ Material Cost %,95%,95%,95%,95%,95%,95%,94%
  └─ Employee Cost %,1%,1%,1%,1%,1%,1%,1%
Operating Profit,31,35,47,53,50,54,70
OPM %,3%,3%,3%,3%,3%,3%,3%
Other Income,0,0,1,0,0,-2,0
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,-2.61,0.00
  └─ Other income normal,0.27,0.35,0.52,0.11,0.45,0.49,0.35
Interest,11,9,9,9,10,11,13
Depreciation,2,2,2,2,2,3,3
Profit before tax,18,24,37,42,39,38,55
Tax %,22%,25%,21%,23%,25%,35%,24%
Net Profit,14,18,29,32,29,25,42
  └─ Minority share,0.00,0.00,0.00,0.00,-0.03,-0.05,-0.14
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,-1.68,0.00
  └─ Profit excl Excep,14.33,18.01,29.19,32.07,29.39,26.68,41.50
  └─ Profit for PE,14.33,18.01,29.19,32.07,29.36,26.63,41.36
  └─ Profit for EPS,14.33,18.01,29.19,32.07,29.36,24.95,41.36
  └─ YOY Profit Growth %,,,,,104.88%,47.84%,41.69%
EPS in Rs,14330.00,18010.00,29190.00,32070.00,12.11,10.29,17.06
Raw PDF,,,,,,,
