Metric,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016
Sales,65.21,70.10,55.60,112.89,78.69,60.58,55.99,77.35
  └─ YOY Sales Growth %,,,,,20.67%,-13.58%,0.70%,-31.48%
Expenses,62.89,68.01,53.29,113.09,77.24,59.67,55.78,79.21
  └─ Material Cost %,81%,88%,66%,91%,90%,86%,85%,82%
  └─ Employee Cost %,0%,0%,0%,0%,0%,0%,0%,0%
Operating Profit,2.32,2.09,2.31,-0.20,1.45,0.91,0.21,-1.86
OPM %,3.56%,2.98%,4.15%,-0.18%,1.84%,1.50%,0.38%,-2.40%
Other Income,0.12,0.09,0.26,0.89,0.18,6.17,0.85,3.33
  └─ Other income normal,0.12,0.09,0.26,0.89,0.18,6.17,0.85,3.33
Interest,0.93,0.67,0.80,0.49,0.84,1.10,0.45,0.84
Depreciation,1.03,0.97,1.26,0.32,0.41,0.41,0.54,0.52
Profit before tax,0.48,0.54,0.51,-0.12,0.38,5.57,0.07,0.11
Tax %,33.33%,33.33%,33.33%,966.67%,34.21%,17.59%,0.00%,263.64%
Net Profit,0.21,0.04,-0.04,-1.78,0.02,4.77,-0.04,0.25
  └─ Profit from Associates,-0,-0,-0,-0,-0,0,-0,0
  └─ Profit excl Excep,0,0,-0,-2,0,5,-0,0
  └─ Profit for PE,0,0,-0,-2,0,5,-0,0
  └─ Profit for EPS,0,0,-0,-2,0,5,-0,0
  └─ YOY Profit Growth %,,,,,-90%,11825%,0%,114%
EPS in Rs,0.07,0.01,-0.01,-0.63,0.01,1.68,-0.01,0.09
Raw PDF,,,,,,,,
