Metric,Mar 2024,Jun 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,0.00,0.00,0.00,111.07,90.29,134.59,57.25,157.32
  └─ YOY Sales Growth %,,,,,,,,41.64%
Interest,0.00,0.00,0.00,0.08,0.08,0.49,2.09,2.92
Expenses,0.23,0.21,0.42,110.12,82.60,121.87,53.91,150.34
  └─ Material Cost %,,,,99%,91%,90%,94%,95%
  └─ Employee Cost %,,,,0%,0%,0%,0%,0%
Financing Profit,-0.23,-0.21,-0.42,0.87,7.61,12.23,1.25,4.06
Financing Margin %,,,,0.78%,8.43%,9.09%,2.18%,2.58%
Other Income,0.23,0.06,0.26,1.56,0.46,0.49,1.52,1.00
  └─ Other income normal,0.23,0.06,0.26,1.56,0.46,0.49,1.52,1.00
Depreciation,0.00,0.01,0.01,0.01,0.01,0.02,0.18,0.11
Profit before tax,0.00,-0.16,-0.17,2.42,8.06,12.70,2.59,4.95
Tax %,,0.00%,0.00%,22.73%,21.59%,26.93%,27.80%,25.45%
Net Profit,0.14,-0.16,-0.17,1.88,6.32,9.29,1.86,3.69
  └─ Minority share,0,0,0,0,0,0,-0,-0
  └─ Profit excl Excep,0,-0,-0,2,6,9,2,4
  └─ Profit for PE,0,-0,-0,2,6,9,1,4
  └─ Profit for EPS,0,-0,-0,2,6,9,1,4
  └─ YOY Profit Growth %,,,,1243%,4050%,,965%,93%
EPS in Rs,0.06,-0.07,-0.06,0.46,1.46,2.15,0.34,0.84
Gross NPA %,,,,,,,,
Net NPA %,,,,,,,,
Raw PDF,,,,,,,,
