Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,285,330,287,248,204,201,185,155,140,135,107,104,82
  └─ YOY Sales Growth %,-38.93%,-30.60%,-34.54%,-29.70%,-28.41%,-39.16%,-25.16%,-23.98%,-30.28%,,-42.50%,-32.90%,-41.53%
Expenses,300,337,296,250,214,227,222,170,152,155,111,105,90
  └─ Material Cost %,64%,63%,66%,60%,58%,66%,81%,63%,54%,64%,50%,53%,55%
  └─ Employee Cost %,15%,14%,15%,18%,19%,16%,15%,19%,18%,20%,23%,23%,18%
Operating Profit,-15,-7,-9,-3,-9,-26,-37,-15,-12,-20,-4,-1,-8
OPM %,-5%,-2%,-3%,-1%,-5%,-13%,-20%,-9%,-9%,-15%,-4%,-1%,-10%
Other Income,9,25,12,5,24,41,6,-0,58,14,3,12,-16
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,-7.48,-7.32,57.81,4.58,-3.52,8.25,-18.96
  └─ Other income normal,8.75,25.40,12.24,4.62,24.32,40.84,13.29,6.90,0.13,9.31,6.99,4.18,3.07
Interest,6,10,11,13,13,16,12,12,13,9,9,8,7
Depreciation,9,9,9,10,10,9,9,7,6,8,5,5,5
Profit before tax,-21,-1,-17,-21,-7,-10,-52,-34,26,-23,-15,-1,-36
Tax %,-16%,-142%,-43%,-32%,-71%,31%,-2%,-22%,-49%,-25%,-26%,1302%,-33%
Net Profit,-18,0,-10,-14,-2,-13,-51,-26,39,-17,-11,-12,-24
  └─ Exceptional items AT,0,0,0,0,0,0,-7,-7,58,5,-4,0,-19
  └─ Profit excl Excep,-18,0,-10,-14,-2,-13,-43,-19,-18,-22,-8,-12,-5
  └─ Profit for PE,-18,0,-10,-14,-2,-13,-43,-19,-18,-22,-8,-12,-5
  └─ Profit for EPS,-18,0,-10,-14,-2,-13,-51,-26,39,-17,-11,-12,-24
  └─ YOY Profit Growth %,-157%,-98%,-145%,-836%,88%,-3528%,-206%,-766%,-38%,,82%,34%,72%
EPS in Rs,-37.14,0.81,-20.39,-29.34,-4.53,-27.76,-105.33,-54.40,81.70,-35.32,-23.54,-25.33,-50.08
Raw PDF,,,,,,,,,,,,,
