Metric,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019
Sales,209.17,172.66,180.56,169.53,157.82
  └─ YOY Sales Growth %,,,,,-24.55%
Expenses,200.64,164.25,171.87,162.41,150.07
  └─ Material Cost %,82%,80%,81%,78%,78%
  └─ Employee Cost %,9%,10%,9%,11%,11%
Operating Profit,8.53,8.41,8.69,7.12,7.75
OPM %,4.08%,4.87%,4.81%,4.20%,4.91%
Other Income,2.55,2.88,2.12,3.76,2.07
  └─ Other income normal,2.55,2.88,2.12,3.76,2.07
Interest,3.84,4.80,4.60,4.08,4.44
Depreciation,4.22,3.98,4.20,4.55,4.81
Profit before tax,3.02,2.51,2.01,2.25,0.57
Tax %,24.17%,16.33%,20.40%,-16.00%,-121.05%
Net Profit,2.29,2.11,1.60,2.62,1.26
  └─ Profit excl Excep,2.29,2.11,1.60,2.62,1.26
  └─ Profit for PE,2.29,2.11,1.60,2.62,1.26
  └─ Profit for EPS,2.29,2.11,1.60,2.62,1.26
  └─ YOY Profit Growth %,,,,,-44.98%
EPS in Rs,5.93,5.46,4.14,6.78,3.26
Raw PDF,,,,,
