Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,11.29,15.32,10.45,23.59,11.27,6.55,25.58
  └─ YOY Sales Growth %,,,,,-0%,-57%,145%
Expenses,10.68,14.97,9.89,22.92,11.43,5.98,22.97
  └─ Material Cost %,88%,91%,92%,94%,95%,76%,90%
  └─ Employee Cost %,2%,1%,1%,1%,1%,3%,1%
Operating Profit,0.61,0.35,0.56,0.67,-0.16,0.57,2.61
OPM %,5.40%,2.28%,5.36%,2.84%,-1.42%,8.70%,10.20%
Other Income,0.73,0.44,0.58,0.20,0.26,0.38,0.02
  └─ Other income normal,0.73,0.44,0.58,0.20,0.26,0.38,0.02
Interest,0.68,0.69,0.69,0.61,0.40,0.36,0.40
Depreciation,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Profit before tax,0.63,0.07,0.42,0.23,-0.33,0.56,2.20
Tax %,26.98%,14.29%,38.10%,21.74%,0.00%,35.71%,22.27%
Net Profit,0.46,0.05,0.27,0.18,-0.33,0.37,1.72
  └─ Profit excl Excep,0,0,0,0,-0,0,2
  └─ Profit for PE,0,0,0,0,-0,0,2
  └─ Profit for EPS,0,0,0,0,-0,0,2
  └─ YOY Profit Growth %,,,,,-172%,640%,537%
EPS in Rs,0.06,0.01,0.04,0.03,-0.05,0.05,0.24
Raw PDF,,,,,,,
