Metric,Dec 2021,Mar 2022,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,45.93,44.23,64.17,62.33,61.32,55.57,62.09,55.69,55.07,45.01,52.53,56.18,60.79
  └─ YOY Sales Growth %,-12.65%,-3.30%,,,,,-3.24%,-10.65%,-10.19%,-19.00%,-15.40%,0.88%,10.39%
Expenses,45.89,44.07,59.50,58.39,58.20,54.66,60.64,56.02,55.36,44.75,49.47,53.43,58.16
  └─ Material Cost %,75%,72%,66%,67%,69%,69%,72%,74%,73%,70%,67%,69%,68%
  └─ Employee Cost %,11%,12%,9%,11%,10%,13%,12%,13%,12%,14%,13%,12%,12%
Operating Profit,0.04,0.16,4.67,3.94,3.12,0.91,1.45,-0.33,-0.29,0.26,3.06,2.75,2.63
OPM %,0.09%,0.36%,7.28%,6.32%,5.09%,1.64%,2.34%,-0.59%,-0.53%,0.58%,5.83%,4.89%,4.33%
Other Income,3.63,1.69,2.34,2.35,2.51,2.37,4.16,2.58,2.71,2.88,2.64,2.55,2.32
  └─ Other income normal,3.63,1.69,2.34,2.35,2.51,2.37,4.16,2.58,2.71,2.88,2.64,2.55,2.32
Interest,0.04,0.03,0.14,0.25,0.17,0.25,0.25,0.25,0.23,0.23,0.25,0.20,0.51
Depreciation,1.57,1.03,1.29,1.35,1.38,1.62,1.66,1.68,1.66,1.71,1.76,1.72,1.58
Profit before tax,2.06,0.79,5.58,4.69,4.08,1.41,3.70,0.32,0.53,1.20,3.69,3.38,2.86
Tax %,7.77%,25.32%,22.40%,25.37%,26.23%,30.50%,16.22%,62.50%,1.89%,29.17%,22.49%,30.77%,35.66%
Net Profit,1.90,0.60,4.34,3.50,3.00,0.98,3.10,0.13,0.51,0.85,2.86,2.34,1.83
  └─ Minority share,-0,0,0,0,0,0,0,0,1,0,0,0,1
  └─ Profit excl Excep,2,1,4,4,3,1,3,0,1,1,3,2,2
  └─ Profit for PE,2,1,5,4,3,1,4,0,1,1,3,3,3
  └─ Profit for EPS,2,1,5,4,3,1,4,0,1,1,3,3,3
  └─ YOY Profit Growth %,-81%,-62%,,,,,-24%,-87%,-66%,-9%,-8%,500%,150%
EPS in Rs,0.71,0.23,1.78,1.36,1.22,0.56,1.34,0.18,0.41,0.51,1.23,1.05,1.02
Raw PDF,,,,,,,,,,,,,
