Metric,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023
Sales,39.13,56.29,35.24,45.98,50.00,66.09,59.54,66.77,66.25,74.93,65.19,70.03,74.76
  └─ YOY Sales Growth %,-2.22%,40.09%,233.71%,41.83%,27.78%,17.41%,68.96%,45.22%,32.50%,13.38%,9.49%,4.88%,12.85%
Expenses,34.05,50.65,31.63,41.95,46.03,59.98,56.28,62.02,60.90,69.57,61.00,65.05,69.57
  └─ Material Cost %,53%,58%,50%,56%,58%,46%,57%,46%,56%,56%,54%,53%,54%
  └─ Employee Cost %,7%,6%,8%,7%,6%,5%,6%,5%,5%,5%,5%,5%,5%
Operating Profit,5.08,5.64,3.61,4.03,3.97,6.11,3.26,4.75,5.35,5.36,4.19,4.98,5.19
OPM %,12.98%,10.02%,10.24%,8.76%,7.94%,9.24%,5.48%,7.11%,8.08%,7.15%,6.43%,7.11%,6.94%
Other Income,0.13,2.21,0.74,0.73,1.04,2.33,2.73,0.86,0.66,1.40,1.11,1.98,0.77
  └─ Other income normal,0.13,2.21,0.74,0.73,1.04,2.33,2.73,0.86,0.66,1.40,1.11,1.98,0.77
Interest,0.30,2.14,0.72,0.87,1.24,1.42,1.25,1.17,1.23,1.46,1.00,1.19,0.98
Depreciation,2.37,2.44,1.91,1.91,2.00,2.69,2.07,2.09,2.13,2.14,1.99,2.01,2.09
Profit before tax,2.54,3.27,1.72,1.98,1.77,4.33,2.67,2.35,2.65,3.16,2.31,3.76,2.89
Tax %,24.41%,22.63%,15.12%,30.30%,19.77%,29.79%,25.09%,20.43%,20.00%,21.52%,31.60%,25.53%,21.80%
Net Profit,1.92,2.53,1.46,1.37,1.43,3.03,2.01,1.86,2.11,2.47,1.57,2.81,2.26
  └─ Profit excl Excep,1.92,2.53,1.46,1.37,1.43,3.03,2.01,1.86,2.11,2.47,1.57,2.81,2.26
  └─ Profit for PE,1.92,2.53,1.46,1.37,1.43,3.03,2.01,1.86,2.11,2.47,1.57,2.81,2.26
  └─ Profit for EPS,1.92,2.53,1.46,1.37,1.43,3.03,2.01,1.86,2.11,2.47,1.57,2.81,2.26
  └─ YOY Profit Growth %,140.00%,123.89%,240.38%,-48.69%,-25.52%,19.76%,37.67%,35.77%,47.55%,-18.48%,-21.89%,51.08%,7.11%
EPS in Rs,1.44,1.90,1.10,1.03,1.35,2.86,1.90,1.75,1.99,2.33,1.48,2.65,2.13
Raw PDF,,,,,,,,,,,,,
