Metric,Dec 2007,Mar 2008,Jun 2008,Sep 2008,Dec 2008,Mar 2009,Jun 2009,Sep 2009,Dec 2009,Mar 2010,Jun 2010,Sep 2010,Dec 2010
Sales,1.97,4.71,3.02,3.51,2.98,4.90,3.42,4.53,7.09,5.35,2.55,5.31,4.61
  └─ YOY Sales Growth %,101.02%,43.16%,9.03%,-10.46%,51.27%,4.03%,13.25%,29.06%,137.92%,9.18%,-25.44%,17.22%,-34.98%
Expenses,1.81,3.77,2.29,2.82,2.48,5.19,2.67,3.81,5.65,5.72,2.08,4.92,4.30
  └─ Material Cost %,22.84%,33.76%,25.50%,29.63%,28.19%,31.63%,8.48%,33.77%,29.48%,46.92%,-5.10%,44.82%,33.84%
  └─ Employee Cost %,9.14%,4.67%,5.30%,4.56%,5.37%,4.08%,4.68%,7.06%,4.09%,5.79%,6.67%,3.20%,3.90%
Operating Profit,0.16,0.94,0.73,0.69,0.50,-0.29,0.75,0.72,1.44,-0.37,0.47,0.39,0.31
OPM %,8.12%,19.96%,24.17%,19.66%,16.78%,-5.92%,21.93%,15.89%,20.31%,-6.92%,18.43%,7.34%,6.72%
Other Income,0.06,-0.48,0.08,0.11,0.17,0.36,0.37,0.28,0.24,0.91,0.25,0.20,0.23
  └─ Exceptional items,0.00,-0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.06,0.18,0.08,0.11,0.17,0.36,0.37,0.28,0.24,0.91,0.25,0.20,0.23
Interest,0.00,0.00,0.00,0.01,0.02,0.02,0.04,0.03,0.09,-0.04,0.02,0.04,0.05
Depreciation,0.08,0.09,0.08,0.08,0.10,0.06,0.08,0.06,0.08,0.06,0.08,0.07,0.08
Profit before tax,0.14,0.37,0.73,0.71,0.55,-0.01,1.00,0.91,1.51,0.52,0.62,0.48,0.41
Tax %,0.00%,-67.57%,4.11%,15.49%,-5.45%,-1900.00%,37.00%,-9.89%,27.81%,-17.31%,27.42%,12.50%,34.15%
Net Profit,0.13,0.60,0.70,0.59,0.58,0.13,0.63,1.00,1.09,0.61,0.45,0.42,0.27
  └─ Exceptional items AT,0,-1,0,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,0,1,1,1,1,0,1,1,1,1,0,0,0
  └─ Profit for PE,0,1,1,1,1,0,1,1,1,1,0,0,0
  └─ Profit for EPS,0,1,1,1,1,0,1,1,1,1,0,0,0
  └─ YOY Profit Growth %,118%,12500%,600%,0%,346%,-90%,-10%,69%,88%,369%,-29%,-58%,-75%
EPS in Rs,0.30,1.40,1.63,1.37,1.35,0.30,1.47,2.33,2.53,1.42,1.05,0.98,0.63
Raw PDF,,,,,,,,,,,,,
