Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,115,108,118,117,95,127,125,122,112,120,164,146,165
  └─ YOY Sales Growth %,,119.98%,48.16%,1.63%,-17.50%,17.24%,6.04%,3.96%,18.46%,-5.43%,31.33%,19.81%,47.25%
Expenses,92,86,91,91,78,110,103,107,106,109,146,124,139
  └─ Material Cost %,64%,60%,60%,58%,58%,65%,57%,54%,55%,63%,65%,56%,55%
  └─ Employee Cost %,9%,10%,11%,11%,14%,13%,14%,13%,16%,15%,14%,15%,15%
Operating Profit,23,23,27,26,17,17,22,15,6,11,18,22,26
OPM %,20%,21%,23%,22%,18%,13%,18%,12%,6%,9%,11%,15%,16%
Other Income,1,1,6,4,4,6,3,4,2,2,4,3,5
  └─ Other income normal,0.71,0.92,6.17,3.93,4.32,5.75,3.13,3.82,2.42,2.05,4.32,2.96,5.19
Interest,3,3,3,3,2,2,2,2,2,2,2,2,2
Depreciation,3,2,4,2,4,5,7,7,6,7,7,8,8
Profit before tax,18,19,26,25,15,16,17,9,1,4,13,15,21
Tax %,22%,26%,30%,24%,36%,21%,22%,17%,181%,44%,19%,27%,15%
Net Profit,14,14,18,19,10,12,13,8,-1,2,11,11,18
  └─ Minority share,0,0,0,0,0,0,0,0,-2,-0,-1,-2,-1
  └─ Profit excl Excep,14,14,18,19,10,12,13,8,-1,2,11,11,18
  └─ Profit for PE,14,14,18,19,10,12,13,8,-2,2,10,9,16
  └─ Profit for EPS,14,14,18,19,10,12,13,8,-2,2,10,9,16
  └─ YOY Profit Growth %,,149%,63%,6%,-31%,-11%,-29%,-58%,-125%,-83%,-23%,17%,805%
EPS in Rs,2.13,1.79,2.36,2.45,1.23,1.60,1.68,1.02,-0.30,0.27,1.30,1.19,2.13
Raw PDF,,,,,,,,,,,,,
