Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,81.95,87.01,119.68,81.05,76.34,75.95,87.47
  └─ YOY Sales Growth %,,,,,-6.85%,-12.71%,-26.91%
Expenses,46.76,29.31,120.95,42.98,42.10,37.01,87.71
  └─ Employee Cost %,1.78%,1.90%,1.45%,2.25%,2.34%,2.46%,1.73%
Operating Profit,35.19,57.70,-1.27,38.07,34.24,38.94,-0.24
OPM %,42.94%,66.31%,-1.06%,46.97%,44.85%,51.27%,-0.27%
Other Income,89.35,59.22,182.74,78.34,78.66,34.64,64.11
  └─ Other income normal,89,59,183,78,79,35,64
Interest,65.68,66.57,66.46,64.47,59.66,59.39,56.92
Depreciation,0.04,0.05,0.11,0.05,0.06,0.06,0.07
Profit before tax,58.82,50.30,114.90,51.89,53.18,14.13,6.88
Tax %,8.91%,7.51%,18.69%,16.48%,14.14%,7.57%,117.44%
Net Profit,53.57,46.52,93.43,43.34,45.67,13.05,-1.19
  └─ Profit excl Excep,54,47,93,43,46,13,-1
  └─ Profit for PE,54,47,93,43,46,13,-1
  └─ Profit for EPS,54,47,93,43,46,13,-1
  └─ YOY Profit Growth %,,,,,-15%,-72%,-101%
EPS in Rs,1.88,1.63,3.28,1.52,1.60,0.46,-0.04
Raw PDF,,,,,,,
