Metric,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,97,123,200,103,162,123,207,102,125,125,206
  └─ YOY Sales Growth %,,,,,66.30%,-0.28%,3.39%,-0.33%,-22.88%,1.43%,-0.46%
Expenses,75,100,161,100,135,119,149,104,117,121,188
  └─ Material Cost %,38%,48%,54%,53%,51%,50%,48%,51%,50%,49%,57%
  └─ Employee Cost %,17%,14%,10%,18%,12%,19%,11%,24%,21%,21%,17%
Operating Profit,23,23,39,3,27,3,58,-1,7,3,18
OPM %,23%,19%,20%,3%,17%,3%,28%,-1%,6%,3%,9%
Other Income,1,7,-1,-0,-0,-3,1,14,5,-2,9
  └─ Exceptional items,0.00,0.00,-8.30,-1.79,-1.63,-1.91,-1.36,-1.02,-0.82,-5.85,4.65
  └─ Other income normal,0.75,6.54,7.11,1.31,1.55,-0.82,2.68,15.06,5.91,4.09,4.72
Interest,5,4,4,5,5,6,6,5,5,6,6
Depreciation,6,5,3,2,3,3,3,4,4,4,5
Profit before tax,12,21,31,-4,19,-8,51,5,4,-9,17
Tax %,-2%,10%,10%,1%,10%,10%,7%,14%,-12%,-5%,18%
Net Profit,12,19,28,-4,17,-9,47,4,4,-8,14
  └─ Exceptional items AT,0,0,-8,-2,-2,-2,-1,-1,-1,-5,4
  └─ Profit excl Excep,12,19,36,-3,19,-7,48,5,5,-3,10
  └─ Profit for PE,12,19,36,-3,19,-7,48,5,5,-3,10
  └─ Profit for EPS,12,19,28,-4,17,-9,47,4,4,-8,14
  └─ YOY Profit Growth %,,,,,53%,-136%,33%,299%,-72%,50%,-79%
EPS in Rs,6.81,10.21,15.42,-2.40,9.51,-4.14,22.77,1.99,2.17,-3.95,6.84
Raw PDF,,,,,,,,,,,
