Metric,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales,20.27,24.91,24.64,24.11,28.58
  └─ YOY Sales Growth %,,,,18.94%,14.73%
Expenses,15.29,16.91,18.05,17.36,19.98
  └─ Employee Cost %,11.79%,12.04%,9.46%,10.45%,10.67%
Operating Profit,4.98,8.00,6.59,6.75,8.60
OPM %,24.57%,32.12%,26.75%,28.00%,30.09%
Other Income,-0.02,0.45,0.34,0.39,0.32
  └─ Other income normal,-0.02,0.45,0.34,0.39,0.32
Interest,0.58,0.82,0.74,0.80,0.88
Depreciation,3.00,3.00,3.42,3.58,3.76
Profit before tax,1.38,4.63,2.77,2.76,4.28
Tax %,20.29%,30.89%,13.72%,14.86%,41.36%
Net Profit,1.10,3.21,2.39,2.35,2.51
  └─ Profit excl Excep,1.10,3.21,2.39,2.35,2.51
  └─ Profit for PE,1.10,3.21,2.39,2.35,2.51
  └─ Profit for EPS,1.10,3.21,2.39,2.35,2.51
  └─ YOY Profit Growth %,,,,113.64%,-21.81%
EPS in Rs,3.14,9.17,6.83,6.75,7.21
Raw PDF,,,,,
