Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,334,301,270,205,256,240,230,196,230,235,248,247,293
  └─ YOY Sales Growth %,-19.41%,-7.13%,-5.48%,-13.86%,-23.16%,-20.21%,-14.73%,-4.21%,-10.11%,-2.39%,7.74%,25.95%,27.04%
Expenses,327,294,255,200,239,220,226,183,209,212,228,233,268
  └─ Material Cost %,75%,75%,69%,67%,64%,64%,70%,62%,61%,64%,66%,68%,70%
  └─ Employee Cost %,6%,6%,7%,9%,8%,7%,8%,9%,9%,8%,7%,8%,6%
Operating Profit,6,8,15,5,17,21,4,13,21,23,20,14,25
OPM %,2%,3%,5%,3%,7%,9%,2%,6%,9%,10%,8%,6%,9%
Other Income,5,7,9,8,1,6,6,4,5,8,12,71,25
  └─ Exceptional items,0.00,0.00,0.00,0.00,-5.54,0.00,0.00,0.00,-3.21,0.00,-0.98,50.75,18.54
  └─ Other income normal,5.25,6.57,8.52,7.72,6.35,6.36,5.79,4.37,7.98,8.02,12.90,19.78,6.76
Interest,2,2,2,2,3,3,2,3,3,3,3,3,4
Depreciation,7,6,6,6,7,7,7,7,7,8,8,9,9
Profit before tax,2,6,15,5,8,18,1,8,16,20,21,72,37
Tax %,119%,30%,27%,35%,84%,27%,64%,31%,32%,28%,14%,6%,22%
Net Profit,-0,4,11,3,1,13,0,5,11,14,18,68,29
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,-0.90,0.00,0.00,0.00,-2.18,0.00,-0.85,47.46,14.52
  └─ Profit excl Excep,-0.45,4.11,10.86,2.94,2.20,13.02,0.20,5.27,12.99,14.34,19.00,20.97,14.52
  └─ Profit for PE,-0.45,4.11,10.86,2.94,2.20,13.02,0.20,5.27,12.99,14.34,19.00,20.97,14.52
  └─ Profit for EPS,-0.45,4.11,10.86,2.94,1.30,13.02,0.20,5.27,10.81,14.34,18.15,68.43,29.04
  └─ YOY Profit Growth %,-100.59%,-88.67%,-7.02%,-6.67%,588.89%,216.79%,-98.16%,79.25%,490.45%,10.14%,9400.00%,297.91%,11.78%
EPS in Rs,-0.03,0.24,0.63,0.17,0.08,0.76,0.01,0.31,0.63,0.83,1.06,3.98,1.69
Raw PDF,,,,,,,,,,,,,
