Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,8.44,4.52,3.19,2.90,9.83,9.77,20.55,18.84,15.16,11.42,5.83,23.17
  └─ YOY Sales Growth %,,,,,16.47%,116.15%,544.20%,549.66%,54.22%,16.89%,-71.63%,22.98%
Expenses,4.74,3.50,3.96,5.31,5.89,8.31,18.31,19.36,11.14,9.52,6.36,22.38
  └─ Material Cost %,22%,9%,8%,16%,16%,22%,55%,61%,28%,19%,0%,57%
  └─ Employee Cost %,12%,24%,46%,39%,17%,21%,12%,16%,19%,29%,57%,18%
Operating Profit,3.70,1.02,-0.77,-2.41,3.94,1.46,2.24,-0.52,4.02,1.90,-0.53,0.79
OPM %,43.84%,22.57%,-24.14%,-83.10%,40.08%,14.94%,10.90%,-2.76%,26.52%,16.64%,-9.09%,3.41%
Other Income,0.38,1.55,0.90,1.26,0.25,2.58,0.40,1.16,0.11,2.14,0.26,1.34
  └─ Other income normal,0.38,1.55,0.90,1.26,0.25,2.58,0.40,1.16,0.11,2.14,0.26,1.34
Interest,0.05,0.07,0.04,0.08,0.05,0.08,0.01,0.31,0.11,0.12,0.15,0.25
Depreciation,0.06,0.09,0.08,0.19,0.14,0.31,0.18,0.64,0.38,0.45,0.48,0.32
Profit before tax,3.97,2.41,0.01,-1.42,4.00,3.65,2.45,-0.31,3.64,3.47,-0.90,1.56
Tax %,21.16%,40.25%,-1500.00%,-23.24%,23.00%,31.23%,20.41%,51.61%,20.60%,24.78%,-32.22%,36.54%
Net Profit,3.13,1.44,0.17,-1.09,3.09,2.50,1.95,-0.47,2.90,2.62,-0.61,0.98
  └─ Profit excl Excep,3,1,0,-1,3,2,2,-0,3,3,-1,1
  └─ Profit for PE,3,1,0,-1,3,2,2,-0,3,3,-1,1
  └─ Profit for EPS,3,1,0,-1,3,2,2,-0,3,3,-1,1
  └─ YOY Profit Growth %,,,,,-1%,74%,1047%,57%,-6%,5%,-131%,309%
EPS in Rs,0.19,0.09,0.01,-0.07,0.19,0.16,0.12,-0.03,0.18,0.16,-0.04,0.06
Raw PDF,,,,,,,,,,,,
