Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,25.96,26.53,27.47,29.31,32.74,45.27,44.93,51.38,56.39,51.63
  └─ YOY Sales Growth %,,,,,26.12%,70.64%,63.56%,75.30%,72.24%,14.05%
Expenses,21.41,22.89,23.27,23.60,24.41,37.02,36.53,42.24,45.44,44.69
  └─ Employee Cost %,55.35%,60.57%,60.25%,54.90%,39.13%,34.68%,32.41%,32.97%,31.69%,37.17%
Operating Profit,4.55,3.64,4.20,5.71,8.33,8.25,8.40,9.14,10.95,6.94
OPM %,17.53%,13.72%,15.29%,19.48%,25.44%,18.22%,18.70%,17.79%,19.42%,13.44%
Other Income,1.70,1.19,1.55,1.29,1.50,1.06,0.83,0.85,1.22,1.18
  └─ Other income normal,1.70,1.19,1.55,1.29,1.50,1.06,0.83,0.85,1.22,1.18
Interest,0.15,0.17,0.16,0.14,0.13,0.15,0.15,0.20,0.22,0.21
Depreciation,0.89,0.86,0.85,0.85,1.14,4.36,3.93,2.00,2.02,2.00
Profit before tax,5.21,3.80,4.74,6.01,8.56,4.80,5.15,7.79,9.93,5.91
Tax %,25.72%,24.21%,25.74%,25.62%,26.52%,30.21%,24.66%,25.67%,25.58%,42.47%
Net Profit,3.88,2.88,3.51,4.47,6.29,3.35,3.89,5.78,7.39,3.40
  └─ Minority share,0.00,0.00,0.00,0.00,0.05,0.01,-0.01,0.00,0.00,0.00
  └─ Profit excl Excep,3.88,2.88,3.51,4.47,6.29,3.35,3.89,5.78,7.39,3.40
  └─ Profit for PE,3.88,2.88,3.51,4.47,6.34,3.36,3.88,5.78,7.39,3.40
  └─ Profit for EPS,3.88,2.88,3.51,4.47,6.34,3.36,3.88,5.78,7.39,3.40
  └─ YOY Profit Growth %,,,,,63.40%,16.67%,10.54%,29.31%,16.56%,1.19%
EPS in Rs,0.66,0.49,0.60,0.44,0.62,0.33,0.38,0.52,0.66,0.30
Raw PDF,,,,,,,,,,
