Metric,Mar 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,2.11,2.11,3.14,3.88,4.49,7.02,7.55,4.99
Expenses,1.70,1.70,2.29,2.73,3.51,5.42,4.49,5.34
  └─ Employee Cost %,47.87%,47.87%,41.08%,43.81%,42.76%,27.35%,27.15%,49.30%
Operating Profit,0.41,0.41,0.85,1.15,0.98,1.60,3.06,-0.35
OPM %,19.43%,19.43%,27.07%,29.64%,21.83%,22.79%,40.53%,-7.01%
Other Income,0.04,0.04,0.04,0.31,0.14,0.20,0.18,0.14
  └─ Other income normal,0.04,0.04,0.04,0.31,0.14,0.20,0.18,0.14
Interest,0.03,0.03,0.03,0.02,0.02,0.04,0.22,0.16
Depreciation,0.04,0.04,0.11,0.12,0.09,0.17,0.17,0.20
Profit before tax,0.38,0.38,0.75,1.32,1.01,1.59,2.85,-0.57
Tax %,26.32%,26.32%,17.33%,29.55%,25.74%,23.27%,25.26%,-22.81%
Net Profit,0.28,0.28,0.61,0.92,0.81,1.22,2.13,-0.44
  └─ Profit from Associates,0.00,0.00,0.00,-0.01,0.06,0.00,0.00,0.00
  └─ Minority share,0.00,0.00,0.00,0.00,0.00,-0.13,-0.32,0.03
  └─ Profit excl Excep,0.28,0.28,0.61,0.92,0.81,1.22,2.13,-0.44
  └─ Profit for PE,0.28,0.28,0.61,0.92,0.81,1.09,1.81,-0.41
  └─ Profit for EPS,0.28,0.28,0.61,0.92,0.81,1.09,1.81,-0.41
EPS in Rs,0.27,0.27,0.60,0.88,0.78,1.05,1.75,-0.39
Raw PDF,,,,,,,,
