Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,724,724,757,698,803,892,940,889,957,982,1163,1278,1753
  └─ YOY Sales Growth %,14%,4%,22%,14%,11%,23%,24%,27%,19%,10%,24%,44%,83%
Expenses,692,700,726,672,767,856,904,850,912,940,1109,1207,1661
  └─ Material Cost %,90%,92%,91%,91%,91%,91%,92%,90%,90%,90%,90%,89%,90%
  └─ Employee Cost %,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
Operating Profit,32,25,32,26,37,36,36,38,45,43,54,71,92
OPM %,4%,3%,4%,4%,5%,4%,4%,4%,5%,4%,5%,6%,5%
Other Income,4,3,6,4,3,4,4,4,6,4,4,1,6
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.56,0.00
  └─ Other income normal,3.57,2.52,5.82,4.04,2.93,3.54,3.54,4.40,6.46,3.89,4.10,4.70,6.02
Interest,9,10,10,9,11,12,13,14,16,16,19,21,28
Depreciation,4,5,5,5,5,5,5,5,6,8,9,8,13
Profit before tax,22,13,23,16,23,23,22,23,30,22,31,42,57
Tax %,27%,29%,37%,25%,17%,27%,22%,21%,37%,29%,29%,25%,32%
Net Profit,16,9,14,12,19,16,17,18,19,16,22,32,39
  └─ Minority share,-1,0,-1,-0,-2,0,0,-2,-1,-0,-1,-0,-0
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,-3,0
  └─ Profit excl Excep,16,9,14,12,19,16,17,18,19,16,22,34,39
  └─ Profit for PE,15,9,14,12,18,17,17,16,18,15,21,34,39
  └─ Profit for EPS,15,9,14,12,18,17,17,16,18,15,21,31,39
  └─ YOY Profit Growth %,-9%,-6%,82%,-7%,17%,77%,22%,43%,2%,-7%,27%,106%,117%
EPS in Rs,1.71,1.07,1.56,1.31,2.00,1.89,1.91,1.87,2.04,1.75,2.28,3.35,4.18
Raw PDF,,,,,,,,,,,,,
