Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,3463,3583,3833,4100,4280,4316,4465,4797,4886,4991,5026,5450,5539
  └─ YOY Sales Growth %,20.86%,23.47%,27.31%,23.36%,23.61%,20.44%,16.48%,16.99%,14.14%,15.64%,12.56%,13.61%,13.37%
Interest,1477,1597,1703,1798,1861,1960,2062,2175,2218,2280,2198,2236,2220
Expenses,1072,1504,1724,1456,1520,1676,1830,1325,2001,1964,2015,1913,1987
  └─ Employee Cost %,17.31%,15.59%,15.03%,13.82%,13.09%,13.71%,12.50%,12.45%,12.45%,12.71%,11.99%,11.59%,11.58%
Financing Profit,913,482,406,846,900,679,573,1297,667,746,814,1301,1332
Financing Margin %,26%,13%,11%,21%,21%,16%,13%,27%,14%,15%,16%,24%,24%
Other Income,86,67,44,50,68,58,28,19,27,43,39,-100,37
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-132.95,0.00
  └─ Other income normal,86.08,67.48,44.37,49.67,68.06,58.48,28.48,18.56,27.07,42.98,38.69,32.47,36.86
Depreciation,65,66,67,69,72,76,79,82,85,86,94,96,110
Profit before tax,934,483,383,826,896,661,523,1233,609,704,759,1105,1259
Tax %,28%,25%,25%,25%,25%,25%,25%,26%,25%,25%,25%,25%,25%
Net Profit,675,362,287,623,671,497,390,918,456,529,566,826,940
  └─ Minority share,6,-4,-6,-0,-0,1,-1,-0,1,-1,-2,-1,-2
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,-99,0
  └─ Profit excl Excep,675,362,287,623,671,497,390,918,456,529,566,925,940
  └─ Profit for PE,681,359,281,623,670,498,389,918,457,528,564,923,938
  └─ Profit for EPS,681,359,281,623,670,498,389,918,457,528,564,824,938
  └─ YOY Profit Growth %,9%,50%,-47%,-6%,-2%,39%,39%,47%,-32%,6%,45%,1%,105%
EPS in Rs,4.90,2.58,2.02,4.48,4.82,3.58,2.80,6.60,3.29,3.80,4.06,5.93,6.75
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
