Metric,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Mar 2025,Dec 2025,Mar 2026
Sales,15.33,18.20,14.82,16.22,16.29,18.23,15.37,13.73,11.47,12.05,8.91,48.34,34.39
  └─ YOY Sales Growth %,17%,18%,3%,5%,6%,0%,4%,-15%,-30%,-34%,,,286%
Expenses,14.00,16.29,13.98,14.72,14.78,16.41,14.04,12.77,11.65,12.19,9.01,45.75,32.07
  └─ Material Cost %,3.91%,7.14%,0.27%,5.86%,5.22%,10.04%,9.76%,2.69%,4.80%,2.49%,0.00%,0.00%,0.00%
  └─ Employee Cost %,9.72%,8.57%,10.32%,9.56%,9.64%,8.72%,9.69%,10.71%,12.47%,13.61%,13.92%,3.48%,3.75%
Operating Profit,1.33,1.91,0.84,1.50,1.51,1.82,1.33,0.96,-0.18,-0.14,-0.10,2.59,2.32
OPM %,8.68%,10.49%,5.67%,9.25%,9.27%,9.98%,8.65%,6.99%,-1.57%,-1.16%,-1.12%,5.36%,6.75%
Other Income,0.01,0.23,0.02,0.01,0.05,0.04,0.00,0.13,0.07,460.08,1.52,0.15,0.42
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,459.70,1.26,0.00,0.05
  └─ Other income normal,0.01,0.23,0.02,0.01,0.05,0.04,0.00,0.13,0.07,0.38,0.26,0.15,0.37
Interest,13.10,13.10,13.10,13.10,13.10,13.10,13.10,13.10,0.00,0.00,0.00,0.00,0.07
Depreciation,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.05,1.05,1.01,0.01,0.06,0.05
Profit before tax,-12.83,-12.03,-13.31,-12.66,-12.61,-12.31,-12.84,-13.06,-1.16,458.93,1.41,2.68,2.62
Tax %,1.17%,-9.73%,-1.13%,-1.11%,-1.11%,-1.22%,5.76%,-1.30%,-13.79%,4.15%,33.33%,8.96%,20.23%
Net Profit,-12.98,-10.86,-13.16,-12.52,-12.46,-12.16,-13.58,-12.90,-1.00,439.88,0.93,2.45,2.08
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,441,1,0,0
  └─ Profit excl Excep,-13,-11,-13,-13,-12,-12,-14,-13,-1,-1,0,2,2
  └─ Profit for PE,-13,-11,-13,-13,-12,-12,-14,-13,-1,-1,0,2,2
  └─ Profit for EPS,-13,-11,-13,-13,-12,-12,-14,-13,-1,440,1,2,2
  └─ YOY Profit Growth %,3%,18%,-3%,1%,4%,-12%,-3%,-3%,92%,94%,,,2178%
EPS in Rs,-3.81,-3.19,-3.87,-3.68,-3.66,-3.57,-3.99,-3.79,-0.33,14.44,0.03,0.08,0.07
Raw PDF,,,,,,,,,,,,,
